span_id,event_id,region,event_type,forecast_month,age_at_forecast_days,forecast_date,forecast_wind_max,forecast_wind_avg,forecast_rain_total,forecast_pressure_min,forecast_humidity_max,forecast_temp_max,forecast_confidence_avg
SP-00004,FCAST-000014,Northeast,summer_storm,5,411,2021-05-08,16.38,7.329861111111111,121.621,999.5,98.8,33.12,75.11250000000001
SP-00004,FCAST-000015,Northeast,heatwave,3,1083,2023-03-11,4.68,2.663472222222222,43.83,1004.4,62.0,38.2,75.41805555555555
SP-00004,FCAST-000016,Northeast,tropical_cyclone,10,942,2022-10-21,26.33,13.168194444444445,321.708,986.8,100.0,30.7,74.76805555555556
SP-00005,FCAST-000017,Northeast,tropical_cyclone,11,1616,2024-11-14,26.33,13.545694444444443,314.894,986.5,100.0,30.7,75.16527777777777
SP-00005,FCAST-000018,Northeast,summer_storm,5,700,2022-05-13,16.38,6.928055555555556,120.888,999.5,96.6,33.33,74.82361111111112
SP-00005,FCAST-000019,Northeast,heatwave,4,683,2022-04-26,4.68,2.6712499999999997,37.975,1004.6,66.8,38.2,75.04305555555555
SP-00005,FCAST-000020,Northeast,southwest_monsoon,7,769,2022-07-21,11.7,6.220138888888889,157.414,1002.0,100.0,31.7,75.09305555555555
SP-00006,FCAST-000021,Northeast,southwest_monsoon,8,1684,2024-08-18,11.7,6.303194444444444,159.276,1001.4,100.0,31.7,75.07916666666667
SP-00006,FCAST-000022,Northeast,tropical_cyclone,8,579,2021-08-09,26.33,13.26,321.874,987.4,99.9,30.7,74.89166666666667
SP-00006,FCAST-000023,Northeast,summer_storm,4,1198,2023-04-20,16.38,6.87375,124.099,999.4,98.8,33.67,75.36805555555556
SP-00006,FCAST-000024,Northeast,heatwave,3,444,2021-03-27,4.68,2.8752777777777774,43.741,1004.9,62.5,38.2,75.28333333333333
SP-00007,FCAST-000025,Northeast,tropical_cyclone,10,1270,2021-10-09,26.33,13.111527777777777,318.351,987.1,100.0,30.7,74.91944444444444
SP-00007,FCAST-000026,Northeast,summer_storm,5,396,2019-05-19,16.38,6.859861111111112,123.659,999.0,96.6,34.41,75.14861111111111
SP-00007,FCAST-000027,Northeast,southwest_monsoon,7,1553,2022-07-19,11.7,6.3711111111111105,160.853,1002.0,100.0,31.7,75.57638888888889
SP-00007,FCAST-000028,Northeast,heatwave,4,735,2020-04-22,4.68,2.797638888888889,43.843,1005.0,62.9,38.2,74.69027777777778
SP-00008,FCAST-000029,Northeast,southwest_monsoon,9,795,2021-09-29,11.7,6.240555555555556,156.498,1002.1,100.0,31.7,74.95694444444445
SP-00008,FCAST-000030,Northeast,tropical_cyclone,9,1513,2023-09-17,26.33,13.566388888888888,314.967,987.1,100.0,30.7,74.91527777777777
SP-00008,FCAST-000031,Northeast,heatwave,4,1718,2024-04-09,4.68,2.629583333333333,44.039,1004.6,62.9,38.2,74.66527777777777
SP-00008,FCAST-000032,Northeast,summer_storm,4,986,2022-04-08,16.38,6.845277777777778,118.071,999.8,97.4,32.92,74.9
SP-00009,FCAST-000033,Northeast,tropical_cyclone,9,1386,2022-09-23,26.33,13.61138888888889,320.2,986.6,100.0,30.7,75.00555555555555
SP-00009,FCAST-000034,Northeast,southwest_monsoon,6,1276,2022-06-05,11.7,6.323611111111111,155.95499999999998,1002.3,99.1,31.7,74.47777777777777
SP-00009,FCAST-000035,Northeast,heatwave,4,1232,2022-04-22,4.68,2.651111111111111,43.291,1004.9,63.0,38.2,75.02777777777777
SP-00009,FCAST-000036,Northeast,summer_storm,4,851,2021-04-06,16.38,6.8879166666666665,124.071,999.4,97.7,33.22,74.75972222222222
SP-00010,FCAST-000037,Northeast,heatwave,4,267,2019-04-17,4.68,2.73875,44.598,1004.7,65.6,38.2,75.16527777777777
SP-00010,FCAST-000038,Northeast,summer_storm,5,1036,2021-05-25,16.38,6.776388888888889,123.3,999.4,96.8,33.33,74.89722222222223
SP-00010,FCAST-000039,Northeast,tropical_cyclone,9,1867,2023-09-03,26.33,13.525694444444445,319.099,987.5,100.0,30.7,75.01527777777778
SP-00010,FCAST-000040,Northeast,southwest_monsoon,9,422,2019-09-19,11.7,6.263055555555556,160.472,1002.1,100.0,31.7,74.84305555555555
SP-00011,FCAST-000041,Northeast,southwest_monsoon,8,119,2020-08-18,11.7,6.170694444444445,159.234,1001.9,100.0,31.7,75.25833333333334
SP-00011,FCAST-000042,Northeast,heatwave,3,1419,2024-03-10,4.68,2.748333333333333,35.842,1004.8,65.8,38.2,74.72916666666667
SP-00011,FCAST-000043,Northeast,summer_storm,5,24,2020-05-15,16.38,7.004722222222223,120.182,999.1,97.9,33.59,74.65555555555555
SP-00011,FCAST-000044,Northeast,tropical_cyclone,10,1284,2023-10-27,26.33,13.352777777777778,327.947,987.3,100.0,30.7,75.36388888888888
SP-00012,FCAST-000045,Northeast,heatwave,3,682,2023-03-24,4.68,2.6630555555555557,37.054,1004.7,65.5,38.2,74.98750000000001
SP-00012,FCAST-000046,Northeast,southwest_monsoon,6,1131,2024-06-15,11.7,6.072777777777778,155.296,1001.4,99.4,31.7,74.88333333333334
SP-00012,FCAST-000047,Northeast,summer_storm,5,5,2021-05-16,16.38,6.913888888888889,123.195,999.0,96.8,33.05,75.29583333333333
SP-00012,FCAST-000048,Northeast,tropical_cyclone,8,472,2022-08-26,26.33,13.16763888888889,322.877,986.7,100.0,30.7,75.11666666666666
SP-00013,FCAST-000049,Northeast,summer_storm,5,854,2020-05-20,16.38,6.713611111111111,123.95400000000001,999.5,98.6,32.54,75.45277777777778
SP-00013,FCAST-000050,Northeast,tropical_cyclone,10,1726,2022-10-09,26.33,13.494444444444445,323.679,987.4,100.0,30.7,74.875
SP-00013,FCAST-000051,Northeast,heatwave,3,431,2019-03-24,4.68,2.752638888888889,36.811,1005.1,62.8,38.2,74.89305555555556
SP-00013,FCAST-000052,Northeast,southwest_monsoon,6,521,2019-06-22,11.7,6.499722222222222,159.879,1001.4,99.7,31.7,74.83055555555556
SP-00014,FCAST-000053,Northeast,southwest_monsoon,6,794,2021-06-04,11.7,6.19736111111111,158.597,1001.3,100.0,31.7,75.00694444444444
SP-00014,FCAST-000054,Northeast,heatwave,4,366,2020-04-02,4.68,2.6443055555555555,41.474,1004.7,64.1,38.2,74.70277777777778
SP-00014,FCAST-000055,Northeast,summer_storm,5,771,2021-05-12,16.38,6.704861111111111,124.06,999.5,97.7,32.84,75.1888888888889
SP-00014,FCAST-000056,Northeast,tropical_cyclone,11,1322,2022-11-14,26.33,13.311388888888889,318.123,987.0,100.0,30.7,74.65972222222223
SP-00015,FCAST-000057,Northeast,southwest_monsoon,9,498,2022-09-07,11.7,6.113194444444444,160.691,1001.5,100.0,31.7,74.86388888888888
SP-00015,FCAST-000058,Northeast,tropical_cyclone,11,553,2022-11-01,26.33,13.34513888888889,317.075,986.8,100.0,30.7,75.19861111111112
SP-00015,FCAST-000059,Northeast,heatwave,3,1047,2024-03-09,4.68,2.7181944444444444,44.288,1004.4,66.1,38.2,75.23055555555555
SP-00015,FCAST-000060,Northeast,summer_storm,4,339,2022-04-01,16.38,6.615694444444444,120.351,999.1,95.7,33.48,75.02222222222223
SP-00016,FCAST-000061,Northeast,summer_storm,4,1560,2023-04-22,16.38,7.03625,119.478,998.7,97.6,33.94,75.01805555555556
SP-00016,FCAST-000062,Northeast,heatwave,4,834,2021-04-26,4.68,2.528472222222222,42.808,1004.6,62.6,38.2,74.67222222222222
SP-00016,FCAST-000063,Northeast,southwest_monsoon,6,1256,2022-06-22,11.7,6.166805555555555,155.547,1002.0,98.3,31.7,75.01249999999999
SP-00016,FCAST-000064,Northeast,tropical_cyclone,8,2050,2024-08-24,26.33,13.212499999999999,320.272,987.0,100.0,30.7,74.70277777777778
SP-00017,FCAST-000065,Northeast,southwest_monsoon,8,1016,2024-08-26,11.7,6.449722222222222,163.223,1002.2,100.0,31.7,74.85972222222222
SP-00017,FCAST-000066,Northeast,summer_storm,4,532,2023-04-30,16.38,6.556388888888889,126.348,999.4,96.8,33.11,74.76111111111112
SP-00017,FCAST-000067,Northeast,heatwave,3,855,2024-03-18,4.68,2.8279166666666664,36.815,1004.8,63.9,38.2,75.21944444444445
SP-00017,FCAST-000068,Northeast,tropical_cyclone,11,365,2022-11-14,26.33,13.538055555555555,317.785,987.0,100.0,30.7,75.08055555555556
SP-00018,FCAST-000069,Northeast,heatwave,3,959,2024-03-15,4.68,2.8593055555555558,40.993,1004.9,63.0,38.2,74.54722222222222
SP-00018,FCAST-000070,Northeast,summer_storm,5,1031,2024-05-26,16.38,6.702638888888889,125.712,999.5,98.6,33.08,74.725
SP-00018,FCAST-000071,Northeast,tropical_cyclone,10,796,2023-10-04,26.33,13.339861111111112,310.602,987.2,100.0,30.7,75.41527777777777
SP-00018,FCAST-000072,Northeast,southwest_monsoon,9,1139,2024-09-11,11.7,6.295,156.751,1001.7,100.0,31.7,75.3763888888889
SP-00019,FCAST-000073,Northeast,heatwave,3,944,2023-03-27,4.68,2.5727777777777776,38.392,1004.7,63.6,38.2,74.64166666666667
SP-00019,FCAST-000074,Northeast,southwest_monsoon,9,755,2022-09-19,11.7,6.392222222222222,163.418,1002.3,100.0,31.7,75.08611111111111
SP-00019,FCAST-000075,Northeast,tropical_cyclone,10,416,2021-10-15,26.33,13.124583333333334,322.997,987.0,100.0,30.7,75.18055555555556
SP-00019,FCAST-000076,Northeast,summer_storm,4,586,2022-04-03,16.38,7.124722222222222,120.30199999999999,999.7,95.8,33.75,74.64027777777778
SP-00020,FCAST-000077,Northeast,heatwave,4,1740,2024-04-05,4.68,2.6644444444444444,37.933,1005.3,63.3,38.2,75.40277777777777
SP-00020,FCAST-000078,Northeast,southwest_monsoon,8,767,2021-08-06,11.7,6.384305555555556,154.525,1001.9,98.6,31.7,74.77638888888889
SP-00020,FCAST-000079,Northeast,tropical_cyclone,9,1158,2022-09-01,26.33,13.582500000000001,319.041,987.4,100.0,30.7,75.00694444444444
SP-00020,FCAST-000080,Northeast,summer_storm,5,1778,2024-05-13,16.38,6.901666666666667,125.293,998.6,97.1,33.04,75.06944444444444
SP-00021,FCAST-000081,Northeast,tropical_cyclone,10,129,2018-10-05,26.33,13.35513888888889,316.489,987.6,100.0,30.7,74.76805555555556
SP-00021,FCAST-000082,Northeast,heatwave,3,1765,2023-03-29,4.68,2.647222222222222,36.907,1004.3,64.8,38.2,74.96527777777777
SP-00021,FCAST-000083,Northeast,summer_storm,5,1828,2023-05-31,16.38,7.208194444444445,121.953,999.2,97.5,33.36,75.19305555555555
SP-00021,FCAST-000084,Northeast,southwest_monsoon,9,831,2020-09-06,11.7,6.141805555555555,157.40200000000002,1002.4,99.0,31.7,74.60694444444444
SP-00022,FCAST-000085,Northeast,tropical_cyclone,9,538,2022-09-30,26.33,13.169583333333334,323.064,986.9,100.0,30.7,75.53055555555555
SP-00022,FCAST-000086,Northeast,heatwave,3,344,2022-03-20,4.68,2.7540277777777775,40.287,1004.9,64.5,38.2,75.15277777777777
SP-00022,FCAST-000087,Northeast,southwest_monsoon,8,501,2022-08-24,11.7,6.077222222222222,159.371,1001.3,98.4,31.7,75.45694444444445
SP-00022,FCAST-000088,Northeast,summer_storm,4,372,2022-04-17,16.38,6.876388888888888,125.644,999.6,96.5,33.52,75.14166666666667
SP-00023,FCAST-000089,Northeast,tropical_cyclone,8,915,2022-08-31,26.33,13.070416666666667,321.141,987.0,100.0,30.7,74.93333333333334
SP-00023,FCAST-000090,Northeast,southwest_monsoon,7,515,2021-07-27,11.7,6.396805555555556,158.811,1002.3,99.8,31.7,75.18472222222222
SP-00023,FCAST-000091,Northeast,summer_storm,5,449,2021-05-22,16.38,7.032361111111111,123.903,998.7,97.7,32.92,75.03194444444445
SP-00023,FCAST-000092,Northeast,heatwave,4,405,2021-04-08,4.68,2.7841666666666667,38.971000000000004,1005.2,67.5,38.2,75.45277777777778
SP-00024,FCAST-000093,Northeast,summer_storm,4,273,2020-04-18,16.38,6.763194444444444,126.879,999.6,97.3,33.69,74.67638888888888
SP-00024,FCAST-000094,Northeast,tropical_cyclone,9,50,2019-09-08,26.33,13.182222222222222,325.877,986.5,100.0,30.7,75.02777777777777
SP-00024,FCAST-000095,Northeast,heatwave,3,1324,2023-03-05,4.68,2.565138888888889,49.697,1005.0,63.5,38.2,74.98611111111111
SP-00024,FCAST-000096,Northeast,southwest_monsoon,8,1853,2024-08-15,11.7,6.206250000000001,158.726,1002.1,97.7,31.7,74.73888888888888
SP-00025,FCAST-000097,Northeast,southwest_monsoon,9,1542,2024-09-05,11.7,6.315,161.369,1002.3,100.0,31.7,74.82499999999999
SP-00025,FCAST-000098,Northeast,tropical_cyclone,11,891,2022-11-24,26.33,13.57125,313.605,987.3,99.9,30.7,74.92777777777778
SP-00025,FCAST-000099,Northeast,heatwave,3,1360,2024-03-07,4.68,2.658333333333333,41.66,1004.2,62.3,38.2,75.10138888888889
SP-00025,FCAST-000100,Northeast,summer_storm,4,683,2022-04-30,16.38,7.041527777777778,124.604,999.3,97.8,32.94,74.9375
SP-00026,FCAST-000101,Northeast,tropical_cyclone,11,149,2019-11-28,26.33,13.373888888888889,324.745,986.8,100.0,30.7,75.08333333333333
SP-00026,FCAST-000102,Northeast,southwest_monsoon,8,42,2019-08-13,11.7,6.365555555555556,154.305,1001.5,100.0,31.7,74.98472222222222
SP-00026,FCAST-000103,Northeast,heatwave,3,1339,2023-03-02,4.68,2.747916666666667,35.497,1004.8,64.5,38.2,74.95555555555556
SP-00026,FCAST-000104,Northeast,summer_storm,4,1374,2023-04-06,16.38,6.965694444444444,116.59700000000001,999.2,96.1,33.27,74.98472222222222
SP-00027,FCAST-000105,Northeast,southwest_monsoon,6,618,2022-06-25,11.7,6.462916666666667,153.842,1002.1,100.0,31.7,74.91527777777777
SP-00027,FCAST-000106,Northeast,tropical_cyclone,10,724,2022-10-09,26.33,13.57263888888889,316.386,987.4,100.0,30.7,74.63611111111112
SP-00027,FCAST-000107,Northeast,heatwave,3,1252,2024-03-20,4.68,2.6094444444444442,40.957,1004.8,62.7,38.2,75.04166666666667
SP-00027,FCAST-000108,Northeast,summer_storm,4,1293,2024-04-30,16.38,6.624583333333334,121.494,999.8,97.5,34.2,75.61944444444445
SP-00028,FCAST-000109,Northeast,southwest_monsoon,6,1693,2024-06-25,11.7,6.120416666666667,164.079,1001.3,99.9,31.7,74.71527777777777
SP-00028,FCAST-000110,Northeast,tropical_cyclone,9,689,2021-09-25,26.33,13.245555555555557,319.59000000000003,987.2,100.0,30.7,74.88749999999999
SP-00028,FCAST-000111,Northeast,summer_storm,4,522,2021-04-11,16.38,6.651805555555556,122.526,999.4,97.8,34.38,74.85416666666667
SP-00028,FCAST-000112,Northeast,heatwave,4,159,2020-04-13,4.68,2.863888888888889,31.169,1004.8,63.3,38.2,74.24583333333334
SP-00029,FCAST-000113,Northeast,southwest_monsoon,8,992,2024-08-10,11.7,6.363472222222223,161.599,1001.9,99.6,31.7,75.18333333333334
SP-00029,FCAST-000114,Northeast,tropical_cyclone,9,1033,2024-09-20,26.33,13.310416666666667,321.996,987.5,100.0,30.7,74.67083333333333
SP-00029,FCAST-000115,Northeast,heatwave,4,511,2023-04-17,4.68,2.8494444444444444,33.025,1004.8,67.3,38.2,74.89583333333333
SP-00029,FCAST-000116,Northeast,summer_storm,4,863,2024-04-03,16.38,6.967083333333333,121.126,999.3,98.5,33.03,75.3375
SP-00030,FCAST-000117,Northeast,summer_storm,5,152,2022-05-05,16.38,6.706666666666667,120.20100000000001,999.3,96.9,33.58,75.35833333333333
SP-00030,FCAST-000118,Northeast,southwest_monsoon,9,660,2023-09-25,11.7,6.493472222222222,159.957,1001.6,99.7,31.7,74.77777777777777
SP-00030,FCAST-000119,Northeast,tropical_cyclone,10,301,2022-10-01,26.33,13.337499999999999,325.915,986.7,100.0,30.7,75.03055555555555
SP-00030,FCAST-000120,Northeast,heatwave,4,876,2024-04-28,4.68,2.4183333333333334,50.352,1005.0,65.5,38.2,75.29583333333333
SP-00031,FCAST-000121,Northeast,tropical_cyclone,8,181,2020-08-23,26.33,13.168611111111112,315.268,987.4,100.0,30.7,75.06944444444444
SP-00031,FCAST-000122,Northeast,summer_storm,4,1139,2023-04-08,16.38,6.583333333333333,123.767,999.0,97.7,33.63,74.82083333333334
SP-00031,FCAST-000123,Northeast,heatwave,3,9,2020-03-04,4.68,2.64125,37.348,1004.2,62.1,38.2,74.76527777777778
SP-00031,FCAST-000124,Northeast,southwest_monsoon,8,1645,2024-08-26,11.7,6.178333333333333,158.54,1001.9,99.8,31.7,75.1236111111111
SP-00032,FCAST-000125,Northeast,tropical_cyclone,9,285,2021-09-11,26.33,13.408055555555556,319.265,987.4,100.0,30.7,74.9625
SP-00032,FCAST-000126,Northeast,summer_storm,5,904,2023-05-23,16.38,7.296250000000001,124.327,999.1,98.2,33.18,74.95833333333333
SP-00032,FCAST-000127,Northeast,southwest_monsoon,7,232,2021-07-20,11.7,6.31875,151.951,1002.1,99.7,31.7,75.10694444444444
SP-00032,FCAST-000128,Northeast,heatwave,3,112,2021-03-22,4.68,2.682777777777778,43.606,1004.3,64.1,38.2,75.0611111111111
SP-00033,FCAST-000129,Northeast,summer_storm,5,530,2023-05-15,16.38,7.300277777777778,128.547,999.2,98.9,32.92,75.04722222222222
SP-00033,FCAST-000130,Northeast,southwest_monsoon,8,243,2022-08-01,11.7,6.240972222222222,160.732,1001.9,100.0,31.7,75.34722222222223
SP-00033,FCAST-000131,Northeast,tropical_cyclone,11,716,2023-11-17,26.33,13.380416666666667,320.179,986.6,100.0,30.7,75.1263888888889
SP-00033,FCAST-000132,Northeast,heatwave,3,835,2024-03-15,4.68,2.604861111111111,40.716,1004.7,62.5,38.2,74.86111111111111
SP-00034,FCAST-000133,Northeast,southwest_monsoon,7,1583,2023-07-12,11.7,6.13,156.034,1002.0,100.0,31.7,75.21666666666667
SP-00034,FCAST-000134,Northeast,summer_storm,4,767,2021-04-17,16.38,7.016666666666667,118.176,999.3,96.3,33.55,74.93333333333334
SP-00034,FCAST-000135,Northeast,tropical_cyclone,10,945,2021-10-12,26.33,13.120694444444446,321.73,987.4,100.0,30.7,74.54305555555555
SP-00034,FCAST-000136,Northeast,heatwave,4,1127,2022-04-12,4.68,2.7251388888888886,41.249,1005.1,64.1,38.2,74.8736111111111
SP-00035,FCAST-000137,Northeast,heatwave,3,238,2021-03-14,4.68,2.557083333333333,43.748,1004.7,66.8,38.2,75.04305555555555
SP-00035,FCAST-000138,Northeast,southwest_monsoon,6,706,2022-06-25,11.7,6.295,162.008,1002.0,99.9,31.7,75.14444444444445
SP-00035,FCAST-000139,Northeast,tropical_cyclone,11,1215,2023-11-16,26.33,13.363055555555555,329.239,986.8,100.0,30.7,74.71388888888889
SP-00035,FCAST-000140,Northeast,summer_storm,4,642,2022-04-22,16.38,7.001111111111111,119.885,999.6,97.2,34.29,75.01944444444445
SP-00036,FCAST-000141,Northeast,southwest_monsoon,9,1032,2023-09-30,11.7,6.266388888888889,161.41,1002.3,97.8,31.7,75.29444444444444
SP-00036,FCAST-000142,Northeast,summer_storm,4,867,2023-04-18,16.38,6.746944444444444,126.565,999.6,98.2,33.18,74.98750000000001
SP-00036,FCAST-000143,Northeast,tropical_cyclone,11,1437,2024-11-08,26.33,13.404166666666667,324.62,987.5,100.0,30.7,75.08611111111111
SP-00036,FCAST-000144,Northeast,heatwave,4,502,2022-04-18,4.68,2.7134722222222223,37.981,1004.5,61.6,38.2,74.70277777777778
SP-00037,FCAST-000145,Northeast,southwest_monsoon,8,903,2022-08-25,11.7,6.225555555555555,152.471,1001.8,100.0,31.7,75.20694444444445
SP-00037,FCAST-000146,Northeast,summer_storm,4,1514,2024-04-27,16.38,6.635694444444444,121.83,999.4,98.6,33.71,74.89444444444445
SP-00037,FCAST-000147,Northeast,tropical_cyclone,10,966,2022-10-27,26.33,13.477222222222222,309.353,987.3,100.0,30.7,75.09166666666667
SP-00037,FCAST-000148,Northeast,heatwave,4,766,2022-04-10,4.68,2.6065277777777776,31.701,1004.5,61.8,38.2,75.54444444444444
SP-00038,FCAST-000149,Northeast,heatwave,4,962,2021-04-14,4.68,2.7241666666666666,37.9,1004.0,67.3,38.2,74.96388888888889
SP-00038,FCAST-000150,Northeast,southwest_monsoon,6,653,2020-06-09,11.7,6.390138888888888,157.911,1001.6,100.0,31.7,75.12083333333334
SP-00038,FCAST-000151,Northeast,summer_storm,4,2067,2024-04-23,16.38,6.975277777777778,123.749,999.5,96.9,33.93,75.05972222222222
SP-00038,FCAST-000152,Northeast,tropical_cyclone,8,1817,2023-08-17,26.33,13.23027777777778,320.263,986.8,100.0,30.7,75.0611111111111
SP-00039,FCAST-000153,Northeast,summer_storm,4,352,2022-04-22,16.38,7.006805555555555,125.839,999.2,98.0,32.52,75.1263888888889
SP-00039,FCAST-000154,Northeast,tropical_cyclone,9,123,2021-09-05,26.33,13.632916666666667,323.284,987.3,100.0,30.7,74.84305555555555
SP-00039,FCAST-000155,Northeast,heatwave,3,685,2023-03-21,4.68,2.685972222222222,40.236,1005.1,66.3,38.2,75.24305555555556
SP-00039,FCAST-000156,Northeast,southwest_monsoon,9,1228,2024-09-14,11.7,6.400555555555555,158.56,1002.2,99.3,31.7,74.87222222222222
SP-00040,FCAST-000157,Northeast,summer_storm,5,54,2018-05-10,16.38,6.78875,123.881,999.4,96.2,33.65,75.03888888888889
SP-00040,FCAST-000158,Northeast,tropical_cyclone,10,2043,2023-10-20,26.33,13.440694444444444,319.508,987.5,100.0,30.7,75.10972222222222
SP-00040,FCAST-000159,Northeast,heatwave,3,717,2020-03-03,4.68,2.6305555555555555,43.501,1005.3,64.5,38.2,75.23750000000001
SP-00040,FCAST-000160,Northeast,southwest_monsoon,8,1628,2022-08-31,11.7,6.188611111111111,169.482,1002.0,99.8,31.7,74.9
SP-00041,FCAST-000161,Northeast,tropical_cyclone,9,1293,2024-09-05,26.33,13.543611111111112,316.88,987.5,100.0,30.7,75.19027777777778
SP-00041,FCAST-000162,Northeast,heatwave,3,1487,2025-03-18,4.68,2.443888888888889,35.216,1004.9,63.3,38.2,75.02361111111111
SP-00041,FCAST-000163,Northeast,southwest_monsoon,9,208,2021-09-16,11.7,6.079444444444444,161.007,1001.1,100.0,31.7,74.9986111111111
SP-00041,FCAST-000164,Northeast,summer_storm,5,96,2021-05-27,16.38,6.885138888888889,124.596,999.0,98.2,32.99,75.15833333333333
SP-00042,FCAST-000165,Northeast,heatwave,3,867,2023-03-06,4.68,2.637916666666667,34.652,1005.2,64.7,38.2,75.23055555555555
SP-00042,FCAST-000166,Northeast,summer_storm,4,537,2022-04-10,16.38,6.822638888888889,122.506,999.3,99.4,33.81,75.14722222222223
SP-00042,FCAST-000167,Northeast,tropical_cyclone,11,742,2022-11-01,26.33,13.326666666666666,314.326,987.1,100.0,30.7,74.66388888888889
SP-00042,FCAST-000168,Northeast,southwest_monsoon,7,256,2021-07-03,11.7,6.4406944444444445,158.124,1001.7,99.6,31.7,74.83888888888889
SP-00043,FCAST-000169,Northeast,southwest_monsoon,8,1297,2023-08-11,11.7,6.230972222222222,163.827,1002.2,100.0,31.7,74.93194444444445
SP-00043,FCAST-000170,Northeast,heatwave,4,76,2020-04-07,4.68,2.52875,37.195,1004.5,64.5,38.2,74.96527777777777
SP-00043,FCAST-000171,Northeast,tropical_cyclone,9,1703,2024-09-20,26.33,13.300138888888888,317.757,986.5,100.0,30.7,75.07083333333334
SP-00043,FCAST-000172,Northeast,summer_storm,4,1175,2023-04-11,16.38,6.875555555555556,126.364,999.1,97.5,33.43,74.50694444444444
SP-00044,FCAST-000173,Northeast,summer_storm,4,318,2022-04-19,16.38,6.897916666666666,122.152,998.9,98.2,33.66,74.91666666666667
SP-00044,FCAST-000174,Northeast,heatwave,4,688,2023-04-24,4.68,2.589861111111111,42.214,1004.8,62.1,38.2,74.61388888888888
SP-00044,FCAST-000175,Northeast,southwest_monsoon,6,366,2022-06-06,11.7,6.086527777777778,154.041,1002.1,99.2,31.7,74.61666666666666
SP-00044,FCAST-000176,Northeast,tropical_cyclone,11,1246,2024-11-02,26.33,13.525277777777779,316.773,987.6,100.0,30.7,75.09861111111111
SP-00045,FCAST-000177,Northeast,summer_storm,4,190,2020-04-02,16.38,6.702222222222222,130.182,999.4,97.8,33.23,74.53611111111111
SP-00045,FCAST-000178,Northeast,heatwave,3,173,2020-03-16,4.68,2.5781944444444442,46.646,1005.0,64.9,38.2,75.08194444444445
SP-00045,FCAST-000179,Northeast,tropical_cyclone,10,744,2021-10-08,26.33,13.462499999999999,318.762,986.9,100.0,30.7,75.05416666666666
SP-00045,FCAST-000180,Northeast,southwest_monsoon,8,1789,2024-08-18,11.7,6.401527777777777,159.876,1001.1,99.3,31.7,74.94444444444444
SP-00046,FCAST-000181,Northeast,heatwave,3,1423,2023-03-03,4.68,2.647222222222222,36.622,1004.4,63.3,38.2,74.91527777777777
SP-00046,FCAST-000182,Northeast,summer_storm,4,1454,2023-04-03,16.38,6.597638888888889,121.102,999.3,97.7,33.5,75.50694444444444
SP-00046,FCAST-000183,Northeast,tropical_cyclone,10,182,2019-10-09,26.33,13.200277777777778,333.64,987.4,100.0,30.7,75.38194444444444
SP-00046,FCAST-000184,Northeast,southwest_monsoon,7,1197,2022-07-20,11.7,6.370694444444444,158.831,1001.8,98.9,31.7,74.74722222222222
SP-00047,FCAST-000185,Northeast,southwest_monsoon,6,44,2020-06-28,11.7,6.1755555555555555,154.918,1001.4,99.5,31.7,74.83194444444445
SP-00047,FCAST-000186,Northeast,heatwave,3,670,2022-03-16,4.68,2.8315277777777776,38.371,1004.6,66.1,38.2,75.13749999999999
