span_id,line_id,tower_id,voltage_kv,region,component,installation_date,maintenance_date,maintenance_period_days,event_occurred,HI_score_last,HI_class_last,HI_trend_per_year,lightning_strikes_1km_annual,lightning_strikes_5km_annual,max_peak_current_kA,lightning_flash_density,lightning_caused_trip,avg_rainfall_mm_year,max_wind_speed_ms,avg_wind_speed_ms,avg_humidity_pct,avg_temperature_c,max_temperature_c,temp_fluctuation_c,pm25_annual_avg,pm25_exceedance_days,coastal_proximity,pollution_severity,row_width_m,encroachment_events_total,encroachment_severity,vegetation_encroachment,structure_encroachment,encroachment_caused_trip,last_vegetation_cut_days,total_outage_events,fault_type_most_common,transient_faults,permanent_faults,mttr_hours,fault_to_failure_flag,failure_mode
SP-00013,LINE-NE1,13,230,Northeast,Conductor,2018-01-17,,2630,0,3.35,HI3,0.4649,12.9,70.5,49.9,28.23,4,1219.3,19.4,3.6,77.9,29.4,38.5,17.2,68.4,81,inland,b,50,0,none,0,0,0,628,0,equipment_failure,0,0,2.8,0,
SP-00013,LINE-NE1,13,230,Northeast,Damper,2018-01-17,2023-08-07,2028,1,5.0,HI5,0.8999,12.9,70.5,49.9,28.23,1,1219.3,19.4,3.6,77.9,29.4,38.5,17.2,68.4,81,inland,b,50,0,none,0,0,0,628,1,vegetation,0,1,12.4,1,wind_damage
SP-00013,LINE-NE1,13,230,Northeast,Spacer,2018-01-17,,2630,0,2.89,HI2,0.4011,12.9,70.5,49.9,28.23,2,1219.3,19.4,3.6,77.9,29.4,38.5,17.2,68.4,81,inland,b,50,0,none,0,0,0,628,1,wind,0,1,6.1,0,
SP-00013,LINE-NE1,13,230,Northeast,Insulator,2018-01-17,,2630,0,5.0,HI5,0.6939,12.9,70.5,49.9,28.23,3,1219.3,19.4,3.6,77.9,29.4,38.5,17.2,68.4,81,inland,b,50,0,none,0,0,0,628,0,vegetation,0,0,13.4,0,
SP-00013,LINE-NE1,13,230,Northeast,Fittings,2018-01-17,,2630,0,4.28,HI4,0.594,12.9,70.5,49.9,28.23,5,1219.3,19.4,3.6,77.9,29.4,38.5,17.2,68.4,81,inland,b,50,0,none,0,0,0,628,0,vegetation,0,0,20.2,0,
SP-00013,LINE-NE1,13,230,Northeast,Arrester,2018-01-17,,2630,0,5.0,HI5,0.6939,12.9,70.5,49.9,28.23,3,1219.3,19.4,3.6,77.9,29.4,38.5,17.2,68.4,81,inland,b,50,0,none,0,0,0,628,1,lightning,0,1,3.5,0,
SP-00014,LINE-NE1,14,230,Northeast,Conductor,2019-04-02,,2190,0,2.46,HI2,0.41,12.3,45.2,79.3,22.5,1,1067.6,25.8,2.7,82.5,31.9,41.2,15.3,68.5,95,inland,b,25,11,moderate,1,0,2,115,1,lightning,0,1,11.5,0,
SP-00014,LINE-NE1,14,230,Northeast,Damper,2019-04-02,,2190,0,5.0,HI5,0.8333,12.3,45.2,79.3,22.5,3,1067.6,25.8,2.7,82.5,31.9,41.2,15.3,68.5,95,inland,b,25,11,moderate,1,0,2,115,1,wind,0,1,16.0,0,
SP-00014,LINE-NE1,14,230,Northeast,Spacer,2019-04-02,2020-04-01,365,1,5.0,HI5,5.0,12.3,45.2,79.3,22.5,4,1067.6,25.8,2.7,82.5,31.9,41.2,15.3,68.5,95,inland,b,25,11,moderate,1,0,2,115,3,vegetation,2,1,5.1,1,physical_damage
SP-00014,LINE-NE1,14,230,Northeast,Insulator,2019-04-02,2020-04-01,365,1,5.0,HI5,5.0,12.3,45.2,79.3,22.5,0,1067.6,25.8,2.7,82.5,31.9,41.2,15.3,68.5,95,inland,b,25,11,moderate,1,0,2,115,0,lightning,0,0,4.7,0,contamination_flashover
SP-00014,LINE-NE1,14,230,Northeast,Fittings,2019-04-02,,2190,0,1.56,HI1,0.26,12.3,45.2,79.3,22.5,2,1067.6,25.8,2.7,82.5,31.9,41.2,15.3,68.5,95,inland,b,25,11,moderate,1,0,2,115,0,vegetation,0,0,48.9,0,
SP-00014,LINE-NE1,14,230,Northeast,Arrester,2019-04-02,,2190,0,5.0,HI5,0.8333,12.3,45.2,79.3,22.5,2,1067.6,25.8,2.7,82.5,31.9,41.2,15.3,68.5,95,inland,b,25,11,moderate,1,0,2,115,2,equipment_failure,1,1,10.9,0,
SP-00015,LINE-NE1,15,230,Northeast,Conductor,2021-04-27,,1434,0,1.91,HI1,0.4862,14.0,80.0,79.4,28.84,6,827.1,22.8,2.4,67.5,33.7,41.2,12.1,61.2,81,inland,b,50,4,minor,0,0,0,604,2,unknown,1,1,20.2,0,
SP-00015,LINE-NE1,15,230,Northeast,Damper,2021-04-27,,1434,0,1.74,HI1,0.4429,14.0,80.0,79.4,28.84,3,827.1,22.8,2.4,67.5,33.7,41.2,12.1,61.2,81,inland,b,50,4,minor,0,0,0,604,2,overload,1,1,3.1,0,
SP-00015,LINE-NE1,15,230,Northeast,Spacer,2021-04-27,,1434,0,3.42,HI3,0.8705,14.0,80.0,79.4,28.84,3,827.1,22.8,2.4,67.5,33.7,41.2,12.1,61.2,81,inland,b,50,4,minor,0,0,0,604,1,wind,0,1,11.5,0,
SP-00015,LINE-NE1,15,230,Northeast,Insulator,2021-04-27,,1434,0,4.47,HI4,1.1378,14.0,80.0,79.4,28.84,2,827.1,22.8,2.4,67.5,33.7,41.2,12.1,61.2,81,inland,b,50,4,minor,0,0,0,604,0,wind,0,0,14.6,0,
SP-00015,LINE-NE1,15,230,Northeast,Fittings,2021-04-27,,1434,0,1.7,HI1,0.4327,14.0,80.0,79.4,28.84,6,827.1,22.8,2.4,67.5,33.7,41.2,12.1,61.2,81,inland,b,50,4,minor,0,0,0,604,2,lightning,1,1,25.2,0,
SP-00015,LINE-NE1,15,230,Northeast,Arrester,2021-04-27,,1434,0,5.0,HI5,1.2727,14.0,80.0,79.4,28.84,4,827.1,22.8,2.4,67.5,33.7,41.2,12.1,61.2,81,inland,b,50,4,minor,0,0,0,604,2,equipment_failure,1,1,23.5,0,
SP-00016,LINE-NE1,16,230,Northeast,Conductor,2019-01-13,,2269,0,1.76,HI1,0.2831,12.0,67.5,20.3,29.61,1,894.4,21.7,2.6,69.8,33.4,38.4,15.6,33.2,0,inland,b,50,9,moderate,1,0,1,618,0,vegetation,0,0,8.9,0,
