span_id,component,region,event_type,forecast_date,failure_prob,RUL_days,risk_score,risk_level
SP-00008,Arrester,Northeast,heatwave,2024-04-09,0.045,367.2,0.4244933185881486,Medium
SP-00012,Conductor,Northeast,southwest_monsoon,2024-06-15,0.095,28254.3,0.2641227434235452,Low
SP-00012,Damper,Northeast,southwest_monsoon,2024-06-15,0.09,10825.9,0.38009727043419794,Medium
SP-00012,Spacer,Northeast,southwest_monsoon,2024-06-15,0.145,3170.4,0.4653573454571519,Medium
SP-00012,Insulator,Northeast,southwest_monsoon,2024-06-15,0.12,16293.6,0.3607721561760821,Medium
SP-00012,Fittings,Northeast,southwest_monsoon,2024-06-15,0.115,21131.9,0.3247436249261888,Medium
SP-00012,Arrester,Northeast,southwest_monsoon,2024-06-15,0.16,653.2,0.4915409469002686,Medium
SP-00016,Conductor,Northeast,tropical_cyclone,2024-08-24,0.235,30704.9,0.33139378517767604,Medium
SP-00016,Damper,Northeast,tropical_cyclone,2024-08-24,0.35,1558.8,0.599358891653611,High
SP-00016,Spacer,Northeast,tropical_cyclone,2024-08-24,0.345,1871.8,0.5942222051560362,High
SP-00016,Insulator,Northeast,tropical_cyclone,2024-08-24,0.245,19190.8,0.41599449444836967,Medium
SP-00016,Fittings,Northeast,tropical_cyclone,2024-08-24,0.26,23976.7,0.3923236704587732,Medium
SP-00016,Arrester,Northeast,tropical_cyclone,2024-08-24,0.39,0.0,0.634,High
SP-00017,Conductor,Northeast,southwest_monsoon,2024-08-26,0.055,33758.3,0.20254982814350614,Low
SP-00017,Damper,Northeast,southwest_monsoon,2024-08-26,0.07,24069.8,0.27768812568904727,Low
SP-00017,Spacer,Northeast,southwest_monsoon,2024-08-26,0.1,12636.8,0.37373520788321274,Medium
SP-00017,Insulator,Northeast,southwest_monsoon,2024-08-26,0.185,1981.3,0.49747470620560663,Medium
SP-00017,Fittings,Northeast,southwest_monsoon,2024-08-26,0.05,42356.0,0.14085784890964137,Low
SP-00017,Arrester,Northeast,southwest_monsoon,2024-08-26,0.135,1244.3,0.4725058178628357,Medium
SP-00018,Conductor,Northeast,summer_storm,2024-05-26,0.08,35427.3,0.2061564423145844,Low
SP-00018,Conductor,Northeast,southwest_monsoon,2024-09-11,0.085,35427.3,0.2091564423145844,Low
SP-00018,Damper,Northeast,summer_storm,2024-05-26,0.16,8950.5,0.4348996405861211,Medium
SP-00018,Damper,Northeast,southwest_monsoon,2024-09-11,0.18,8950.5,0.4468996405861211,Medium
SP-00018,Spacer,Northeast,summer_storm,2024-05-26,0.135,10892.9,0.40663989664717715,Medium
SP-00018,Spacer,Northeast,southwest_monsoon,2024-09-11,0.14,10892.9,0.40963989664717715,Medium
SP-00018,Insulator,Northeast,summer_storm,2024-05-26,0.105,25047.2,0.29201592957808975,Low
SP-00018,Insulator,Northeast,southwest_monsoon,2024-09-11,0.055,25047.2,0.2620159295780898,Low
SP-00018,Fittings,Northeast,summer_storm,2024-05-26,0.13,26482.4,0.2972185734716377,Low
SP-00018,Fittings,Northeast,southwest_monsoon,2024-09-11,0.12,26482.4,0.2912185734716377,Low
SP-00018,Arrester,Northeast,summer_storm,2024-05-26,0.17,4245.5,0.473018202794076,Medium
SP-00018,Arrester,Northeast,southwest_monsoon,2024-09-11,0.16,4245.5,0.467018202794076,Medium
SP-00020,Conductor,Northeast,heatwave,2024-04-05,0.085,18943.7,0.3216813162808002,Medium
SP-00020,Conductor,Northeast,summer_storm,2024-05-13,0.115,18943.7,0.3396813162808002,Medium
SP-00020,Damper,Northeast,heatwave,2024-04-05,0.075,4518.7,0.41415320997894034,Medium
SP-00020,Damper,Northeast,summer_storm,2024-05-13,0.185,4518.7,0.48015320997894034,Medium
SP-00020,Spacer,Northeast,heatwave,2024-04-05,0.06,4613.9,0.40450332961290475,Medium
SP-00020,Spacer,Northeast,summer_storm,2024-05-13,0.15,4613.9,0.45850332961290474,Medium
SP-00020,Insulator,Northeast,heatwave,2024-04-05,0.055,10218.3,0.3632450362997778,Medium
SP-00020,Insulator,Northeast,summer_storm,2024-05-13,0.105,10218.3,0.3932450362997778,Medium
SP-00020,Fittings,Northeast,heatwave,2024-04-05,0.055,26660.4,0.2510034610225376,Low
SP-00020,Fittings,Northeast,summer_storm,2024-05-13,0.115,26660.4,0.2870034610225376,Low
SP-00020,Arrester,Northeast,heatwave,2024-04-05,0.115,1086.0,0.4615864487656028,Medium
SP-00020,Arrester,Northeast,summer_storm,2024-05-13,0.17,1086.0,0.49458644876560276,Medium
SP-00024,Conductor,Northeast,southwest_monsoon,2024-08-15,0.105,17559.3,0.3431318874860484,Medium
SP-00024,Damper,Northeast,southwest_monsoon,2024-08-15,0.19,1808.2,0.5016563689299842,High
SP-00024,Spacer,Northeast,southwest_monsoon,2024-08-15,0.23,3380.3,0.5149244684736345,High
SP-00024,Insulator,Northeast,southwest_monsoon,2024-08-15,0.26,2380.4,0.5397502602593378,High
SP-00024,Fittings,Northeast,southwest_monsoon,2024-08-15,0.11,17703.1,0.34515024046256193,Medium
SP-00024,Arrester,Northeast,southwest_monsoon,2024-08-15,0.17,0.0,0.502,High
SP-00025,Conductor,Northeast,southwest_monsoon,2024-09-05,0.085,25442.7,0.2773160589397803,Low
SP-00025,Damper,Northeast,southwest_monsoon,2024-09-05,0.17,8286.5,0.44543241960973046,Medium
SP-00025,Spacer,Northeast,southwest_monsoon,2024-09-05,0.305,2294.5,0.5673366544131451,High
SP-00025,Insulator,Northeast,southwest_monsoon,2024-09-05,0.22,620.3,0.5277655379091192,High
SP-00025,Fittings,Northeast,southwest_monsoon,2024-09-05,0.085,26723.6,0.26857202783836276,Low
SP-00025,Arrester,Northeast,southwest_monsoon,2024-09-05,0.33,830.8,0.5923285650409418,High
SP-00027,Conductor,Northeast,summer_storm,2024-04-30,0.105,28785.9,0.26649378961488446,Low
SP-00027,Damper,Northeast,summer_storm,2024-04-30,0.26,8267.4,0.4995628052714036,Medium
SP-00027,Spacer,Northeast,summer_storm,2024-04-30,0.15,2540.2,0.47265938964492094,Medium
SP-00027,Insulator,Northeast,summer_storm,2024-04-30,0.155,1493.0,0.48280807367131207,Medium
SP-00027,Fittings,Northeast,summer_storm,2024-04-30,0.19,23562.4,0.35315187881642585,Medium
SP-00027,Arrester,Northeast,summer_storm,2024-04-30,0.15,5114.8,0.45508394856934165,Medium
SP-00028,Conductor,Northeast,southwest_monsoon,2024-06-25,0.075,37027.7,0.1922313526317766,Low
SP-00028,Damper,Northeast,southwest_monsoon,2024-06-25,0.185,11518.6,0.43236857159435726,Medium
SP-00028,Spacer,Northeast,southwest_monsoon,2024-06-25,0.13,8723.2,0.4184512982247754,Medium
SP-00028,Insulator,Northeast,southwest_monsoon,2024-06-25,0.1,1131.0,0.4522792574161112,Medium
SP-00028,Fittings,Northeast,southwest_monsoon,2024-06-25,0.125,4465.8,0.44451433047645383,Medium
SP-00028,Arrester,Northeast,southwest_monsoon,2024-06-25,0.12,101.8,0.4713050649027057,Medium
SP-00029,Conductor,Northeast,southwest_monsoon,2024-08-10,0.11,20102.6,0.3287701150602266,Medium
SP-00029,Conductor,Northeast,tropical_cyclone,2024-09-20,0.215,20102.6,0.3917701150602266,Medium
SP-00029,Conductor,Northeast,summer_storm,2024-04-03,0.115,20102.6,0.3317701150602266,Medium
SP-00029,Damper,Northeast,southwest_monsoon,2024-08-10,0.145,7531.8,0.43558435986442623,Medium
SP-00029,Damper,Northeast,tropical_cyclone,2024-09-20,0.23,7531.8,0.4865843598644263,Medium
SP-00029,Damper,Northeast,summer_storm,2024-04-03,0.1,7531.8,0.40858435986442626,Medium
SP-00029,Spacer,Northeast,southwest_monsoon,2024-08-10,0.205,2669.6,0.5047760438532718,High
SP-00029,Spacer,Northeast,tropical_cyclone,2024-09-20,0.38,2669.6,0.6097760438532718,High
SP-00029,Spacer,Northeast,summer_storm,2024-04-03,0.175,2669.6,0.4867760438532718,Medium
SP-00029,Insulator,Northeast,southwest_monsoon,2024-08-10,0.165,1041.1,0.49189295746765105,Medium
SP-00029,Insulator,Northeast,tropical_cyclone,2024-09-20,0.225,1041.1,0.5278929574676511,High
SP-00029,Insulator,Northeast,summer_storm,2024-04-03,0.135,1041.1,0.4738929574676511,Medium
SP-00029,Fittings,Northeast,southwest_monsoon,2024-08-10,0.105,39956.4,0.19023865695942002,Low
SP-00029,Fittings,Northeast,tropical_cyclone,2024-09-20,0.215,39956.4,0.25623865695942005,Low
SP-00029,Fittings,Northeast,summer_storm,2024-04-03,0.06,39956.4,0.16323865695942003,Low
SP-00029,Arrester,Northeast,southwest_monsoon,2024-08-10,0.18,892.1,0.5019101021581899,High
SP-00029,Arrester,Northeast,tropical_cyclone,2024-09-20,0.345,892.1,0.6009101021581899,High
SP-00029,Arrester,Northeast,summer_storm,2024-04-03,0.17,892.1,0.49591010215818987,Medium
SP-00030,Conductor,Northeast,heatwave,2024-04-28,0.045,31297.4,0.2133490990760367,Low
SP-00030,Damper,Northeast,heatwave,2024-04-28,0.045,16246.9,0.31609095253211006,Medium
SP-00030,Spacer,Northeast,heatwave,2024-04-28,0.04,24616.3,0.2559574574113327,Low
SP-00030,Insulator,Northeast,heatwave,2024-04-28,0.08,17631.2,0.32764106397430515,Medium
SP-00030,Fittings,Northeast,heatwave,2024-04-28,0.075,18924.3,0.31581374988480326,Medium
SP-00030,Arrester,Northeast,heatwave,2024-04-28,0.105,944.3,0.45655376019277966,Medium
SP-00031,Conductor,Northeast,southwest_monsoon,2024-08-26,0.055,24039.8,0.2688929199220417,Low
SP-00031,Damper,Northeast,southwest_monsoon,2024-08-26,0.09,9858.9,0.3866984712110507,Medium
SP-00031,Spacer,Northeast,southwest_monsoon,2024-08-26,0.145,7233.2,0.43762274513016375,Medium
SP-00031,Insulator,Northeast,southwest_monsoon,2024-08-26,0.14,4265.8,0.45487962536308313,Medium
SP-00031,Fittings,Northeast,southwest_monsoon,2024-08-26,0.085,14093.2,0.354793130518778,Medium
SP-00031,Arrester,Northeast,southwest_monsoon,2024-08-26,0.15,453.0,0.4869076070817846,Medium
SP-00036,Conductor,Northeast,tropical_cyclone,2024-11-08,0.33,31483.4,0.3830793748314714,Medium
SP-00036,Damper,Northeast,tropical_cyclone,2024-11-08,0.325,5565.0,0.5570106697795391,High
SP-00036,Spacer,Northeast,tropical_cyclone,2024-11-08,0.32,3416.6,0.5686766674517112,High
SP-00036,Insulator,Northeast,tropical_cyclone,2024-11-08,0.285,7000.7,0.5232099004358703,High
SP-00036,Fittings,Northeast,tropical_cyclone,2024-11-08,0.275,14894.7,0.46332171126061095,Medium
SP-00036,Arrester,Northeast,tropical_cyclone,2024-11-08,0.4,505.6,0.6365485345266011,High
SP-00037,Conductor,Northeast,summer_storm,2024-04-27,0.125,10975.0,0.4000794430962158,Medium
SP-00037,Damper,Northeast,summer_storm,2024-04-27,0.13,3920.8,0.4512347590425187,Medium
SP-00037,Spacer,Northeast,summer_storm,2024-04-27,0.13,2928.3,0.45801003491741676,Medium
SP-00037,Insulator,Northeast,summer_storm,2024-04-27,0.115,561.8,0.46516488666345823,Medium
SP-00037,Fittings,Northeast,summer_storm,2024-04-27,0.115,15465.9,0.3634224290643976,Medium
SP-00037,Arrester,Northeast,summer_storm,2024-04-27,0.155,274.2,0.4911281807104312,Medium
SP-00038,Conductor,Northeast,summer_storm,2024-04-23,0.11,22435.3,0.31284599815002545,Medium
SP-00038,Damper,Northeast,summer_storm,2024-04-23,0.12,1429.8,0.462239506855487,Medium
SP-00038,Spacer,Northeast,summer_storm,2024-04-23,0.12,1596.7,0.4611001682725948,Medium
SP-00038,Insulator,Northeast,summer_storm,2024-04-23,0.365,1767.3,0.6069355717343,High
SP-00038,Fittings,Northeast,summer_storm,2024-04-23,0.115,5179.7,0.43364091037863045,Medium
SP-00038,Arrester,Northeast,summer_storm,2024-04-23,0.1,0.0,0.46,Medium
SP-00039,Conductor,Northeast,southwest_monsoon,2024-09-14,0.105,37820.9,0.20481659311140465,Low
SP-00039,Damper,Northeast,southwest_monsoon,2024-09-14,0.115,5339.1,0.43255277035398687,Medium
SP-00039,Spacer,Northeast,southwest_monsoon,2024-09-14,0.245,2525.1,0.5297624694088614,High
SP-00039,Insulator,Northeast,southwest_monsoon,2024-09-14,0.185,2028.7,0.49715113131747546,Medium
SP-00039,Fittings,Northeast,southwest_monsoon,2024-09-14,0.135,19126.5,0.350433436754421,Medium
SP-00039,Arrester,Northeast,southwest_monsoon,2024-09-14,0.195,869.8,0.511062332538049,High
SP-00041,Conductor,Northeast,tropical_cyclone,2024-09-05,0.195,23901.7,0.3538356560412592,Medium
SP-00041,Conductor,Northeast,heatwave,2025-03-18,0.055,23901.7,0.26983565604125925,Low
SP-00041,Damper,Northeast,tropical_cyclone,2024-09-05,0.25,9132.2,0.48765927018161837,Medium
SP-00041,Damper,Northeast,heatwave,2025-03-18,0.075,9132.2,0.3826592701816183,Medium
SP-00041,Spacer,Northeast,tropical_cyclone,2024-09-05,0.225,19974.6,0.3986439037876694,Medium
SP-00041,Spacer,Northeast,heatwave,2025-03-18,0.05,19974.6,0.29364390378766936,Low
SP-00041,Insulator,Northeast,tropical_cyclone,2024-09-05,0.43,1430.9,0.6482319977336105,High
SP-00041,Insulator,Northeast,heatwave,2025-03-18,0.12,1430.9,0.4622319977336105,Medium
SP-00041,Fittings,Northeast,tropical_cyclone,2024-09-05,0.225,33269.5,0.30788660884642827,Medium
SP-00041,Fittings,Northeast,heatwave,2025-03-18,0.06,33269.5,0.20888660884642823,Low
SP-00041,Arrester,Northeast,tropical_cyclone,2024-09-05,0.41,1073.0,0.6386751929332337,High
SP-00041,Arrester,Northeast,heatwave,2025-03-18,0.105,1073.0,0.4556751929332337,Medium
SP-00043,Conductor,Northeast,tropical_cyclone,2024-09-20,0.415,5200.5,0.6134989197104209,High
SP-00043,Damper,Northeast,tropical_cyclone,2024-09-20,0.355,2126.0,0.5984869153551303,High
SP-00043,Spacer,Northeast,tropical_cyclone,2024-09-20,0.405,2271.6,0.6274929806776641,High
SP-00043,Insulator,Northeast,tropical_cyclone,2024-09-20,0.19,13201.6,0.42387961512337147,Medium
SP-00043,Fittings,Northeast,tropical_cyclone,2024-09-20,0.31,11325.9,0.5086840332176246,High
SP-00043,Arrester,Northeast,tropical_cyclone,2024-09-20,0.345,626.6,0.6027225311201904,High
SP-00044,Conductor,Northeast,tropical_cyclone,2024-11-02,0.315,14416.8,0.4905840833922117,Medium
SP-00044,Damper,Northeast,tropical_cyclone,2024-11-02,0.45,3097.1,0.6488577260331017,High
SP-00044,Spacer,Northeast,tropical_cyclone,2024-11-02,0.42,5583.8,0.6138823320601958,High
SP-00044,Insulator,Northeast,tropical_cyclone,2024-11-02,0.38,6103.3,0.5863359785921762,High
SP-00044,Fittings,Northeast,tropical_cyclone,2024-11-02,0.175,22653.0,0.3503598746659294,Medium
SP-00044,Arrester,Northeast,tropical_cyclone,2024-11-02,0.495,930.6,0.6906472828925138,High
SP-00045,Conductor,Northeast,southwest_monsoon,2024-08-18,0.05,21879.0,0.280643565877185,Low
SP-00045,Damper,Northeast,southwest_monsoon,2024-08-18,0.19,9149.8,0.45153912423159503,Medium
SP-00045,Spacer,Northeast,southwest_monsoon,2024-08-18,0.205,2295.6,0.5073291452912686,High
SP-00045,Insulator,Northeast,southwest_monsoon,2024-08-18,0.15,1025.2,0.48300149841113804,Medium
SP-00045,Fittings,Northeast,southwest_monsoon,2024-08-18,0.215,19660.0,0.39479151264433726,Medium
SP-00045,Arrester,Northeast,southwest_monsoon,2024-08-18,0.16,305.2,0.49391656000300366,Medium
SP-00048,Conductor,Northeast,tropical_cyclone,2024-11-22,0.215,29657.0,0.32654724773617044,Medium
SP-00048,Damper,Northeast,tropical_cyclone,2024-11-22,0.315,10552.9,0.5169608979544469,High
SP-00048,Spacer,Northeast,tropical_cyclone,2024-11-22,0.32,2344.9,0.5759926001017145,High
SP-00048,Insulator,Northeast,tropical_cyclone,2024-11-22,0.275,3800.8,0.5390539359744964,High
SP-00048,Fittings,Northeast,tropical_cyclone,2024-11-22,0.28,11673.3,0.4883125159995495,Medium
SP-00048,Arrester,Northeast,tropical_cyclone,2024-11-22,0.32,62.6,0.591572662700485,High
SP-00049,Conductor,Northeast,summer_storm,2024-04-08,0.09,27793.2,0.2642704307846691,Low
SP-00049,Damper,Northeast,summer_storm,2024-04-08,0.215,26112.8,0.3507416384221287,Medium
SP-00049,Spacer,Northeast,summer_storm,2024-04-08,0.08,22590.8,0.29378448137567115,Low
SP-00049,Insulator,Northeast,summer_storm,2024-04-08,0.12,7664.5,0.4196784867071477,Medium
SP-00049,Fittings,Northeast,summer_storm,2024-04-08,0.045,32536.1,0.20489314519569798,Low
SP-00049,Arrester,Northeast,summer_storm,2024-04-08,0.14,6600.8,0.43893980756168577,Medium
SP-00050,Conductor,Northeast,southwest_monsoon,2024-06-15,0.065,33207.1,0.21231258085105661,Low
SP-00050,Conductor,Northeast,summer_storm,2024-05-14,0.09,33207.1,0.2273125808510566,Low
SP-00050,Damper,Northeast,southwest_monsoon,2024-06-15,0.13,22276.9,0.32592731170023587,Medium
SP-00050,Damper,Northeast,summer_storm,2024-05-14,0.145,22276.9,0.3349273117002358,Medium
SP-00050,Spacer,Northeast,southwest_monsoon,2024-06-15,0.105,13893.4,0.3681570601105207,Medium
SP-00050,Spacer,Northeast,summer_storm,2024-05-14,0.14,13893.4,0.3891570601105207,Medium
SP-00050,Insulator,Northeast,southwest_monsoon,2024-06-15,0.085,22010.0,0.3007492977264427,Medium
SP-00050,Insulator,Northeast,summer_storm,2024-05-14,0.095,22010.0,0.3067492977264427,Medium
SP-00050,Fittings,Northeast,southwest_monsoon,2024-06-15,0.08,40735.0,0.16992356396577207,Low
SP-00050,Fittings,Northeast,summer_storm,2024-05-14,0.05,40735.0,0.15192356396577208,Low
SP-00050,Arrester,Northeast,southwest_monsoon,2024-06-15,0.255,977.2,0.5463291691839292,High
SP-00050,Arrester,Northeast,summer_storm,2024-05-14,0.3,977.2,0.5733291691839291,High
SP-00052,Conductor,Northeast,southwest_monsoon,2024-08-22,0.12,21642.7,0.3242566617857375,Medium
SP-00052,Conductor,Northeast,tropical_cyclone,2024-11-16,0.35,21642.7,0.46225666178573743,Medium
SP-00052,Damper,Northeast,southwest_monsoon,2024-08-22,0.135,15997.2,0.37179552319806675,Medium
SP-00052,Damper,Northeast,tropical_cyclone,2024-11-16,0.245,15997.2,0.4377955231980667,Medium
SP-00052,Spacer,Northeast,southwest_monsoon,2024-08-22,0.245,3982.0,0.5198169788072101,High
SP-00052,Spacer,Northeast,tropical_cyclone,2024-11-16,0.32,3982.0,0.5648169788072102,High
SP-00052,Insulator,Northeast,southwest_monsoon,2024-08-22,0.14,648.0,0.479576444567321,Medium
SP-00052,Insulator,Northeast,tropical_cyclone,2024-11-16,0.46,648.0,0.671576444567321,High
SP-00052,Fittings,Northeast,southwest_monsoon,2024-08-22,0.225,5817.3,0.49528835028005613,Medium
SP-00052,Fittings,Northeast,tropical_cyclone,2024-11-16,0.345,5817.3,0.5672883502800561,High
SP-00052,Arrester,Northeast,southwest_monsoon,2024-08-22,0.14,254.9,0.482259931666991,Medium
SP-00052,Arrester,Northeast,tropical_cyclone,2024-11-16,0.395,254.9,0.6352599316669909,High
SP-00053,Conductor,Northeast,tropical_cyclone,2024-09-11,0.235,28710.5,0.3450085057871437,Medium
SP-00053,Conductor,Northeast,summer_storm,2024-05-19,0.095,28710.5,0.2610085057871437,Low
SP-00053,Damper,Northeast,tropical_cyclone,2024-09-11,0.385,2243.0,0.6156882178464521,High
SP-00053,Damper,Northeast,summer_storm,2024-05-19,0.205,2243.0,0.5076882178464521,High
SP-00053,Spacer,Northeast,tropical_cyclone,2024-09-11,0.25,6093.3,0.5084042433365077,High
SP-00053,Spacer,Northeast,summer_storm,2024-05-19,0.255,6093.3,0.5114042433365077,High
SP-00053,Insulator,Northeast,tropical_cyclone,2024-09-11,0.335,6139.1,0.5590915908074696,High
SP-00053,Insulator,Northeast,summer_storm,2024-05-19,0.235,6139.1,0.49909159080746957,Medium
SP-00053,Fittings,Northeast,tropical_cyclone,2024-09-11,0.435,3953.9,0.6340088027387816,High
SP-00053,Fittings,Northeast,summer_storm,2024-05-19,0.15,3953.9,0.46300880273878153,Medium
SP-00053,Arrester,Northeast,tropical_cyclone,2024-09-11,0.395,236.3,0.6353869040914475,High
SP-00053,Arrester,Northeast,summer_storm,2024-05-19,0.12,236.3,0.47038690409144746,Medium
SP-00054,Conductor,Northeast,summer_storm,2024-04-23,0.065,42316.9,0.15012476405997743,Low
SP-00054,Conductor,Northeast,southwest_monsoon,2024-08-06,0.065,42316.9,0.15012476405997743,Low
SP-00054,Damper,Northeast,summer_storm,2024-04-23,0.15,14131.7,0.3935303112531018,Medium
SP-00054,Damper,Northeast,southwest_monsoon,2024-08-06,0.1,14131.7,0.3635303112531018,Medium
SP-00054,Spacer,Northeast,summer_storm,2024-04-23,0.17,5246.7,0.4661835365916096,Medium
SP-00054,Spacer,Northeast,southwest_monsoon,2024-08-06,0.105,5246.7,0.4271835365916096,Medium
SP-00054,Insulator,Northeast,summer_storm,2024-04-23,0.145,14545.2,0.3877075640749956,Medium
SP-00054,Insulator,Northeast,southwest_monsoon,2024-08-06,0.115,14545.2,0.36970756407499566,Medium
SP-00054,Fittings,Northeast,summer_storm,2024-04-23,0.075,43919.8,0.14518260819108664,Low
SP-00054,Fittings,Northeast,southwest_monsoon,2024-08-06,0.095,43919.8,0.15718260819108665,Low
SP-00054,Arrester,Northeast,summer_storm,2024-04-23,0.155,8527.9,0.4347845086815689,Medium
SP-00054,Arrester,Northeast,southwest_monsoon,2024-08-06,0.135,8527.9,0.4227845086815689,Medium
SP-00062,Conductor,Northeast,southwest_monsoon,2024-06-07,0.075,24682.2,0.27650759274618825,Low
SP-00062,Damper,Northeast,southwest_monsoon,2024-06-07,0.13,4526.6,0.4470992808309185,Medium
SP-00062,Spacer,Northeast,southwest_monsoon,2024-06-07,0.15,3116.4,0.4687259750765419,Medium
SP-00062,Insulator,Northeast,southwest_monsoon,2024-06-07,0.145,4640.3,0.4553231106878697,Medium
SP-00062,Fittings,Northeast,southwest_monsoon,2024-06-07,0.245,20184.7,0.4092096615092652,Medium
SP-00062,Arrester,Northeast,southwest_monsoon,2024-06-07,0.165,1285.7,0.4902232018213034,Medium
SP-00063,Conductor,Northeast,summer_storm,2024-05-06,0.04,33107.3,0.1979938629994846,Low
SP-00063,Conductor,Northeast,heatwave,2024-04-08,0.015,33107.3,0.1829938629994846,Low
SP-00063,Damper,Northeast,summer_storm,2024-05-06,0.075,6668.6,0.39947697259511844,Medium
SP-00063,Damper,Northeast,heatwave,2024-04-08,0.045,6668.6,0.3814769725951185,Medium
SP-00063,Spacer,Northeast,summer_storm,2024-05-06,0.175,2628.1,0.48705934254224736,Medium
SP-00063,Spacer,Northeast,heatwave,2024-04-08,0.025,2628.1,0.3970593425422474,Medium
SP-00063,Insulator,Northeast,summer_storm,2024-05-06,0.22,2371.3,0.5158123811766795,High
SP-00063,Insulator,Northeast,heatwave,2024-04-08,0.115,2371.3,0.45281238117667943,Medium
SP-00063,Fittings,Northeast,summer_storm,2024-05-06,0.115,6826.2,0.4224011202244545,Medium
SP-00063,Fittings,Northeast,heatwave,2024-04-08,0.035,6826.2,0.3744011202244545,Medium
SP-00063,Arrester,Northeast,summer_storm,2024-05-06,0.075,10920.6,0.37045080330537894,Medium
SP-00063,Arrester,Northeast,heatwave,2024-04-08,0.025,10920.6,0.34045080330537897,Medium
SP-00067,Conductor,Northeast,southwest_monsoon,2024-07-27,0.17,16248.7,0.39107866487813037,Medium
SP-00067,Damper,Northeast,southwest_monsoon,2024-07-27,0.19,3363.8,0.49103710530178135,Medium
SP-00067,Spacer,Northeast,southwest_monsoon,2024-07-27,0.175,3066.7,0.4840652508558692,Medium
SP-00067,Insulator,Northeast,southwest_monsoon,2024-07-27,0.285,6719.9,0.525126774456698,High
SP-00067,Fittings,Northeast,southwest_monsoon,2024-07-27,0.095,17817.1,0.3353720223771832,Medium
SP-00067,Arrester,Northeast,southwest_monsoon,2024-07-27,0.255,0.0,0.553,High
SP-00068,Conductor,Northeast,southwest_monsoon,2024-06-25,0.09,24863.8,0.2842679049891289,Low
SP-00068,Damper,Northeast,southwest_monsoon,2024-06-25,0.155,1584.1,0.4821861818504525,Medium
SP-00068,Spacer,Northeast,southwest_monsoon,2024-06-25,0.09,7481.3,0.40292909682330014,Medium
SP-00068,Insulator,Northeast,southwest_monsoon,2024-06-25,0.18,1070.1,0.5006949897090899,High
SP-00068,Fittings,Northeast,southwest_monsoon,2024-06-25,0.12,10546.6,0.4000039047433758,Medium
SP-00068,Arrester,Northeast,southwest_monsoon,2024-06-25,0.245,0.0,0.547,High
SP-00070,Conductor,Northeast,summer_storm,2024-04-12,0.185,9981.4,0.44286222809299025,Medium
SP-00070,Conductor,Northeast,tropical_cyclone,2024-10-09,0.22,9981.4,0.46386222809299027,Medium
SP-00070,Conductor,Northeast,southwest_monsoon,2024-08-03,0.17,9981.4,0.43386222809299024,Medium
SP-00070,Damper,Northeast,summer_storm,2024-04-12,0.245,1467.5,0.5369821487693573,High
SP-00070,Damper,Northeast,tropical_cyclone,2024-10-09,0.375,1467.5,0.6149821487693573,High
