span_id,line_id,component,installation_date,maintenance_period_days,HI_score_last,HI_class_last,RUL_days,predicted_lifetime_days,lightning_flash_density,region
SP-00573,LINE-N1,Arrester,2018-04-13,2544,5.0,HI5,0.0,2459.5,21.22,North
SP-00599,LINE-N1,Arrester,2018-06-22,2474,5.0,HI5,0.0,2383.7,22.24,North
SP-00601,LINE-N1,Insulator,2018-07-12,2454,5.0,HI5,0.0,2209.8,22.75,North
SP-00602,LINE-N1,Insulator,2018-01-08,2639,5.0,HI5,0.0,2190.2,23.08,North
SP-00972,LINE-C1,Insulator,2018-04-22,2535,5.0,HI5,0.0,2506.6,10.5,Central
SP-00613,LINE-N1,Arrester,2018-05-13,2514,5.0,HI5,0.0,2331.9,24.64,North
SP-00614,LINE-N1,Insulator,2018-09-02,2093,5.0,HI5,0.0,1937.6,24.87,North
SP-00618,LINE-N1,Arrester,2018-02-06,2610,5.0,HI5,0.0,2387.5,24.02,North
SP-00639,LINE-N2,Insulator,2018-04-01,2242,5.0,HI5,0.0,1941.6,23.03,North
SP-00595,LINE-N1,Arrester,2018-03-27,2336,5.0,HI5,0.0,2303.8,22.84,North
SP-00196,LINE-NE1,Arrester,2019-04-28,2164,5.0,HI5,0.0,2080.2,26.97,Northeast
SP-00839,LINE-N2,Insulator,2018-04-14,2543,5.0,HI5,0.0,2177.6,19.2,North
SP-00097,LINE-NE1,Arrester,2019-06-05,2126,5.0,HI5,0.0,2115.1,26.29,Northeast
SP-00086,LINE-NE1,Arrester,2019-06-05,2126,5.0,HI5,0.0,1916.5,29.55,Northeast
SP-00024,LINE-NE1,Arrester,2019-07-20,2081,5.0,HI5,0.0,2065.5,26.56,Northeast
SP-00093,LINE-NE1,Arrester,2018-01-08,2639,5.0,HI5,0.0,2080.3,24.78,Northeast
SP-00154,LINE-NE1,Arrester,2019-08-11,2059,5.0,HI5,0.0,2020.6,26.1,Northeast
SP-00117,LINE-NE1,Arrester,2019-08-25,2045,5.0,HI5,0.0,1953.9,29.61,Northeast
SP-00152,LINE-NE1,Arrester,2019-07-14,2087,5.0,HI5,0.0,1949.4,27.3,Northeast
SP-01304,LINE-S1,Insulator,2018-02-24,2592,5.0,HI5,0.0,2459.3,8.04,South
SP-00013,LINE-NE1,Insulator,2018-01-17,2630,5.0,HI5,0.0,2572.2,28.23,Northeast
SP-00016,LINE-NE1,Arrester,2019-01-13,2269,5.0,HI5,0.0,1899.9,29.61,Northeast
SP-00051,LINE-NE1,Arrester,2018-01-16,2414,5.0,HI5,0.0,2328.4,20.15,Northeast
SP-00135,LINE-NE1,Arrester,2018-09-16,2388,5.0,HI5,0.0,1978.6,28.86,Northeast
SP-00099,LINE-NE1,Arrester,2018-05-23,2504,5.0,HI5,0.0,2149.2,22.46,Northeast
SP-00131,LINE-NE1,Arrester,2018-04-18,2539,5.0,HI5,0.0,2180.3,25.0,Northeast
SP-00131,LINE-NE1,Insulator,2018-04-18,2539,5.0,HI5,0.0,2381.4,25.0,Northeast
SP-00129,LINE-NE1,Arrester,2018-04-16,2541,5.0,HI5,0.0,2169.7,23.1,Northeast
SP-01624,LINE-S2,Insulator,2018-01-25,2605,5.0,HI5,0.0,2425.3,8.54,South
SP-00128,LINE-NE1,Arrester,2018-09-05,2399,5.0,HI5,0.0,1984.4,27.53,Northeast
SP-00101,LINE-NE1,Arrester,2018-07-24,2442,5.0,HI5,0.0,2045.5,28.34,Northeast
SP-00013,LINE-NE1,Arrester,2018-01-17,2630,5.0,HI5,0.0,2032.0,28.23,Northeast
SP-00164,LINE-NE1,Arrester,2018-07-14,2452,5.0,HI5,0.0,2283.2,20.68,Northeast
SP-00084,LINE-NE1,Arrester,2018-08-12,2423,5.0,HI5,0.0,2161.0,24.84,Northeast
SP-00091,LINE-NE1,Arrester,2018-12-14,2299,5.0,HI5,0.0,2117.5,24.74,Northeast
SP-00113,LINE-NE1,Arrester,2018-02-08,2608,5.0,HI5,0.0,2078.3,27.86,Northeast
SP-00059,LINE-NE1,Arrester,2019-07-19,2060,5.0,HI5,0.0,1970.5,27.64,Northeast
SP-00009,LINE-NE1,Arrester,2018-12-07,2306,5.0,HI5,0.0,2092.3,25.33,Northeast
SP-00169,LINE-NE1,Arrester,2018-08-10,2425,5.0,HI5,0.0,2127.2,24.68,Northeast
SP-00002,LINE-NE1,Arrester,2018-02-07,2056,5.0,HI5,0.0,2040.0,28.87,Northeast
SP-00067,LINE-NE1,Arrester,2018-11-16,2327,5.0,HI5,0.0,2242.7,24.46,Northeast
SP-00038,LINE-NE1,Arrester,2018-08-26,2409,5.0,HI5,0.0,2211.9,25.21,Northeast
SP-00058,LINE-NE1,Arrester,2018-08-10,2425,5.0,HI5,0.0,2160.6,23.45,Northeast
SP-00040,LINE-NE1,Arrester,2018-03-17,2114,5.0,HI5,0.0,2056.8,28.28,Northeast
SP-00068,LINE-NE1,Arrester,2018-08-31,2404,5.0,HI5,0.0,2325.8,21.93,Northeast
SP-00070,LINE-NE1,Arrester,2018-10-25,2349,5.0,HI5,0.0,2034.3,26.96,Northeast
SP-00113,LINE-NE1,Insulator,2018-02-08,2502,5.0,HI5,0.0,2363.1,27.86,Northeast
SP-00187,LINE-NE1,Arrester,2018-11-22,2321,5.0,HI5,0.0,2022.2,27.42,Northeast
SP-00046,LINE-NE1,Arrester,2019-04-10,2182,5.0,HI5,0.0,2085.1,28.27,Northeast
SP-00069,LINE-NE1,Arrester,2019-05-21,2141,5.0,HI5,0.0,2028.8,28.34,Northeast
SP-00056,LINE-NE1,Arrester,2019-04-18,2174,5.0,HI5,0.0,2012.8,26.8,Northeast
SP-00799,LINE-N2,Arrester,2018-11-03,2340,5.0,HI5,0.1,2340.1,21.77,North
SP-00124,LINE-NE1,Arrester,2018-12-05,2273,5.0,HI5,2.2,2275.2,23.49,Northeast
SP-00934,LINE-C1,Arrester,2018-02-02,2614,5.0,HI5,10.5,2624.5,18.77,Central
SP-00961,LINE-C1,Arrester,2018-02-06,2610,5.0,HI5,12.7,2622.7,19.18,Central
SP-01173,LINE-C2,Arrester,2018-02-07,2609,5.0,HI5,14.1,2623.1,14.56,Central
SP-01175,LINE-C2,Arrester,2018-07-08,2458,5.0,HI5,15.1,2473.1,17.02,Central
SP-00720,LINE-N2,Insulator,2018-08-21,2414,4.83,HI4,15.5,2429.5,19.08,North
SP-00337,LINE-NE2,Arrester,2019-08-06,2032,5.0,HI5,16.0,2048.0,26.24,Northeast
SP-00034,LINE-NE1,Arrester,2019-03-12,2211,5.0,HI5,20.8,2231.8,24.43,Northeast
SP-01235,LINE-C2,Arrester,2018-09-08,2396,5.0,HI5,23.4,2419.4,19.08,Central
SP-00293,LINE-NE2,Insulator,2018-03-02,2424,5.0,HI5,23.9,2447.9,21.87,Northeast
SP-00363,LINE-NE2,Arrester,2019-12-26,1922,5.0,HI5,26.0,1948.0,28.04,Northeast
SP-00329,LINE-NE2,Arrester,2019-08-26,2044,5.0,HI5,26.9,2070.9,25.03,Northeast
SP-00433,LINE-N1,Arrester,2018-05-19,2508,5.0,HI5,34.2,2542.2,23.59,North
SP-00166,LINE-NE1,Arrester,2020-02-17,1869,5.0,HI5,36.9,1905.9,29.41,Northeast
SP-00297,LINE-NE2,Arrester,2018-06-19,2225,5.0,HI5,37.0,2262.0,20.65,Northeast
SP-00316,LINE-NE2,Arrester,2019-08-23,2047,5.0,HI5,39.9,2086.9,26.39,Northeast
SP-00384,LINE-NE2,Arrester,2019-06-10,2121,5.0,HI5,41.2,2162.2,23.19,Northeast
SP-00319,LINE-NE2,Arrester,2019-10-09,1838,5.0,HI5,44.0,1882.0,27.94,Northeast
SP-00500,LINE-N1,Insulator,2019-01-14,2268,5.0,HI5,48.4,2316.4,21.33,North
SP-00835,LINE-N2,Arrester,2018-09-19,2385,5.0,HI5,49.5,2434.5,19.04,North
SP-00601,LINE-N1,Arrester,2018-07-12,2454,5.0,HI5,49.5,2503.5,22.75,North
SP-00007,LINE-NE1,Arrester,2018-04-18,2136,5.0,HI5,49.7,2185.7,23.75,Northeast
SP-00401,LINE-NE2,Arrester,2018-08-21,2218,5.0,HI5,53.8,2271.8,22.01,Northeast
SP-00399,LINE-NE2,Arrester,2020-02-06,1880,5.0,HI5,54.4,1934.4,29.26,Northeast
SP-00060,LINE-NE1,Arrester,2019-05-03,2159,5.0,HI5,55.6,2214.6,23.5,Northeast
SP-00752,LINE-N2,Arrester,2018-10-22,2352,5.0,HI5,56.3,2408.3,21.6,North
SP-00324,LINE-NE2,Arrester,2019-04-12,2121,5.0,HI5,57.0,2178.0,22.87,Northeast
SP-00281,LINE-NE2,Arrester,2019-12-04,1944,5.0,HI5,58.7,2002.7,25.23,Northeast
SP-00397,LINE-NE2,Arrester,2018-08-24,1897,5.0,HI5,61.7,1958.7,29.67,Northeast
SP-00048,LINE-NE1,Arrester,2019-09-04,2035,5.0,HI5,62.6,2097.6,25.06,Northeast
SP-00208,LINE-NE1,Arrester,2019-06-27,2104,5.0,HI5,65.1,2169.1,22.84,Northeast
SP-01349,LINE-S1,Insulator,2018-09-12,2392,5.0,HI5,66.3,2458.3,14.82,South
SP-00817,LINE-N2,Arrester,2018-09-08,2396,5.0,HI5,67.7,2463.7,20.84,North
SP-00539,LINE-N1,Insulator,2019-09-27,2012,5.0,HI5,67.8,2079.8,22.74,North
SP-01545,LINE-S2,Insulator,2018-06-11,2485,5.0,HI5,70.6,2555.6,8.53,South
SP-00505,LINE-N1,Insulator,2019-11-09,1969,5.0,HI5,72.2,2041.2,18.75,North
SP-00975,LINE-C1,Insulator,2018-03-07,2581,5.0,HI5,72.8,2653.8,14.72,Central
SP-00912,LINE-C1,Insulator,2018-05-01,2526,5.0,HI5,76.6,2602.6,13.21,Central
SP-00252,LINE-NE2,Arrester,2019-09-11,2028,5.0,HI5,78.7,2106.7,28.18,Northeast
SP-00736,LINE-N2,Arrester,2018-04-03,2554,5.0,HI5,82.3,2636.3,18.01,North
SP-00980,LINE-C1,Arrester,2018-04-15,2542,5.0,HI5,84.0,2626.0,18.79,Central
SP-00492,LINE-N1,Arrester,2018-12-26,2287,5.0,HI5,84.5,2371.5,21.76,North
SP-00658,LINE-N2,Insulator,2019-07-09,1941,5.0,HI5,87.4,2028.4,18.77,North
SP-00374,LINE-NE2,Arrester,2020-01-26,1891,5.0,HI5,89.3,1980.3,26.03,Northeast
SP-00866,LINE-C1,Insulator,2018-02-25,2591,5.0,HI5,90.3,2681.3,15.85,Central
SP-00637,LINE-N2,Insulator,2019-06-09,2122,5.0,HI5,92.1,2214.1,17.24,North
SP-00172,LINE-NE1,Arrester,2019-09-02,2037,5.0,HI5,95.6,2132.6,26.11,Northeast
SP-00198,LINE-NE1,Arrester,2019-05-17,2145,5.0,HI5,96.5,2241.5,22.26,Northeast
SP-01237,LINE-C2,Arrester,2018-04-06,2551,5.0,HI5,99.5,2650.5,13.57,Central
SP-00467,LINE-N1,Arrester,2018-03-17,2571,5.0,HI5,100.0,2671.0,20.87,North
SP-00447,LINE-N1,Arrester,2019-02-09,2242,5.0,HI5,100.9,2342.9,24.23,North
SP-00028,LINE-NE1,Arrester,2019-11-06,1972,5.0,HI5,101.8,2073.8,27.92,Northeast
SP-00619,LINE-N1,Insulator,2020-05-08,1788,5.0,HI5,104.8,1892.8,24.83,North
SP-00902,LINE-C1,Arrester,2018-01-09,2638,5.0,HI5,105.9,2743.9,15.42,Central
SP-00379,LINE-NE2,Arrester,2019-02-01,2033,5.0,HI5,115.4,2148.4,23.89,Northeast
SP-00510,LINE-N1,Arrester,2018-04-02,2555,5.0,HI5,115.9,2670.9,17.35,North
SP-00256,LINE-NE2,Arrester,2020-03-23,1834,5.0,HI5,116.6,1950.6,26.25,Northeast
SP-00803,LINE-N2,Insulator,2018-03-12,2576,5.0,HI5,118.5,2694.5,19.8,North
SP-00668,LINE-N2,Insulator,2018-02-17,2211,5.0,HI5,119.3,2330.3,20.92,North
SP-00456,LINE-N1,Arrester,2018-03-18,2531,5.0,HI5,119.4,2650.4,20.38,North
SP-00167,LINE-NE1,Arrester,2019-04-22,1907,5.0,HI5,120.1,2027.1,28.71,Northeast
SP-00927,LINE-C1,Arrester,2018-03-06,2582,5.0,HI5,120.7,2702.7,16.82,Central
SP-00721,LINE-N2,Insulator,2018-02-09,2430,5.0,HI5,121.0,2551.0,16.38,North
SP-00001,LINE-NE1,Arrester,2019-09-23,2016,5.0,HI5,121.4,2137.4,27.08,Northeast
SP-00439,LINE-N1,Arrester,2018-04-07,2550,5.0,HI5,122.7,2672.7,20.48,North
SP-00784,LINE-N2,Insulator,2018-04-20,2199,5.0,HI5,122.9,2321.9,24.0,North
SP-00848,LINE-C1,Insulator,2018-04-20,2537,5.0,HI5,124.0,2661.0,13.31,Central
SP-00591,LINE-N1,Arrester,2019-06-30,2101,5.0,HI5,125.8,2226.8,24.61,North
SP-00349,LINE-NE2,Arrester,2018-08-09,1913,5.0,HI5,126.1,2039.1,27.62,Northeast
SP-01218,LINE-C2,Arrester,2018-08-15,2420,5.0,HI5,126.1,2546.1,16.18,Central
SP-00089,LINE-NE1,Arrester,2020-01-30,1887,5.0,HI5,127.7,2014.7,27.49,Northeast
SP-00683,LINE-N2,Insulator,2019-01-05,2277,5.0,HI5,130.2,2407.2,16.53,North
SP-00786,LINE-N2,Insulator,2018-04-19,2538,5.0,HI5,131.5,2669.5,22.17,North
SP-00132,LINE-NE1,Arrester,2020-04-16,1810,5.0,HI5,131.9,1941.9,26.59,Northeast
SP-00171,LINE-NE1,Arrester,2019-04-21,2171,5.0,HI5,132.6,2303.6,21.11,Northeast
SP-01228,LINE-C2,Arrester,2018-06-22,2474,5.0,HI5,132.8,2606.8,13.99,Central
SP-00603,LINE-N1,Insulator,2019-08-12,2058,5.0,HI5,132.9,2190.9,24.55,North
SP-00955,LINE-C1,Insulator,2018-01-02,2645,5.0,HI5,136.7,2781.7,13.74,Central
SP-00389,LINE-NE2,Arrester,2019-08-06,2064,5.0,HI5,138.0,2202.0,23.67,Northeast
SP-01412,LINE-S1,Arrester,2018-01-29,2618,5.0,HI5,138.1,2756.1,14.61,South
SP-00014,LINE-NE1,Arrester,2019-04-02,2190,5.0,HI5,140.1,2330.1,22.5,Northeast
SP-00534,LINE-N1,Insulator,2019-09-15,2024,5.0,HI5,140.2,2164.2,20.42,North
SP-00526,LINE-N1,Arrester,2018-12-08,2305,5.0,HI5,140.6,2445.6,22.25,North
SP-00083,LINE-NE1,Arrester,2018-06-13,2144,5.0,HI5,141.7,2285.7,21.15,Northeast
SP-00433,LINE-N1,Insulator,2018-05-19,1598,5.0,HI5,142.2,1740.2,23.59,North
SP-01455,LINE-S1,Arrester,2018-01-04,2643,5.0,HI5,143.0,2786.0,12.79,South
SP-01407,LINE-S1,Arrester,2018-04-12,2545,5.0,HI5,145.0,2690.0,13.17,South
SP-00246,LINE-NE2,Arrester,2019-04-01,2191,5.0,HI5,146.6,2337.6,20.12,Northeast
SP-01254,LINE-C2,Arrester,2018-12-28,2285,5.0,HI5,149.6,2434.6,19.34,Central
SP-00392,LINE-NE2,Insulator,2018-04-15,2542,5.0,HI5,150.1,2692.1,23.61,Northeast
SP-00973,LINE-C1,Arrester,2018-10-01,2373,5.0,HI5,152.8,2525.8,18.5,Central
SP-01511,LINE-S2,Arrester,2018-02-06,2610,5.0,HI5,153.1,2763.1,14.49,South
SP-00518,LINE-N1,Arrester,2018-05-19,2508,5.0,HI5,154.8,2662.8,19.72,North
SP-00176,LINE-NE1,Arrester,2019-02-16,2235,5.0,HI5,157.7,2392.7,20.27,Northeast
SP-00341,LINE-NE2,Arrester,2019-07-28,2073,5.0,HI5,160.4,2233.4,22.14,Northeast
SP-00915,LINE-C1,Arrester,2018-04-21,2536,5.0,HI5,160.7,2696.7,15.37,Central
SP-00568,LINE-N1,Insulator,2018-06-25,2471,5.0,HI5,160.8,2631.8,15.19,North
SP-00509,LINE-N1,Insulator,2020-09-01,1672,5.0,HI5,160.8,1832.8,19.66,North
SP-00615,LINE-N1,Insulator,2019-09-24,1702,5.0,HI5,161.9,1863.9,23.04,North
SP-01352,LINE-S1,Insulator,2018-09-12,2392,5.0,HI5,162.6,2554.6,8.57,South
SP-00003,LINE-NE1,Arrester,2019-05-25,2137,5.0,HI5,163.1,2300.1,20.9,Northeast
SP-00802,LINE-N2,Insulator,2020-04-02,1824,5.0,HI5,163.3,1987.3,25.0,North
SP-00957,LINE-C1,Arrester,2018-04-19,2538,5.0,HI5,163.6,2701.6,16.39,Central
SP-00345,LINE-NE2,Insulator,2019-07-30,2071,5.0,HI5,169.1,2240.1,28.78,Northeast
SP-00247,LINE-NE2,Arrester,2020-05-25,1771,5.0,HI5,169.5,1940.5,26.74,Northeast
SP-00157,LINE-NE1,Insulator,2018-05-12,2515,5.0,HI5,170.2,2685.2,21.73,Northeast
SP-01153,LINE-C2,Insulator,2018-09-14,2390,5.0,HI5,174.6,2564.6,17.46,Central
SP-00265,LINE-NE2,Arrester,2020-03-24,1833,5.0,HI5,176.8,2009.8,25.89,Northeast
SP-00866,LINE-C1,Arrester,2018-02-25,2591,5.0,HI5,178.3,2769.3,15.85,Central
SP-01394,LINE-S1,Arrester,2018-03-19,2569,5.0,HI5,178.6,2747.6,13.31,South
SP-00767,LINE-N2,Arrester,2019-04-25,2167,5.0,HI5,180.0,2347.0,21.64,North
SP-00500,LINE-N1,Arrester,2019-01-14,2268,5.0,HI5,181.7,2449.7,21.33,North
SP-01163,LINE-C2,Arrester,2018-12-09,2304,5.0,HI5,181.8,2485.8,19.0,Central
SP-00722,LINE-N2,Arrester,2019-10-09,2000,5.0,HI5,181.9,2181.9,23.86,North
SP-00449,LINE-N1,Insulator,2020-01-14,1903,5.0,HI5,182.0,2085.0,16.2,North
SP-00181,LINE-NE1,Arrester,2019-11-13,1965,5.0,HI5,182.4,2147.4,26.67,Northeast
SP-00192,LINE-NE1,Arrester,2019-04-26,2166,5.0,HI5,182.9,2348.9,24.22,Northeast
SP-01032,LINE-C1,Arrester,2018-03-06,2582,5.0,HI5,183.5,2765.5,15.86,Central
SP-00108,LINE-NE1,Arrester,2019-02-05,1794,5.0,HI5,186.8,1980.8,27.54,Northeast
SP-00160,LINE-NE1,Arrester,2019-07-21,1876,5.0,HI5,187.7,2063.7,29.79,Northeast
SP-00175,LINE-NE1,Arrester,2019-06-26,1777,5.0,HI5,188.1,1965.1,29.12,Northeast
SP-01480,LINE-S2,Arrester,2018-02-04,2612,5.0,HI5,189.0,2801.0,14.13,South
SP-00193,LINE-NE1,Arrester,2019-05-23,2139,5.0,HI5,190.7,2329.7,23.81,Northeast
SP-00743,LINE-N2,Insulator,2020-02-14,1872,5.0,HI5,190.9,2062.9,18.0,North
SP-00700,LINE-N2,Arrester,2018-12-11,2302,5.0,HI5,192.8,2494.8,19.37,North
SP-01196,LINE-C2,Arrester,2018-02-16,2600,5.0,HI5,196.2,2796.2,11.83,Central
SP-00483,LINE-N1,Insulator,2020-09-15,1612,5.0,HI5,197.4,1809.4,21.95,North
SP-01582,LINE-S2,Insulator,2018-08-23,2368,5.0,HI5,200.8,2568.8,12.55,South
SP-01234,LINE-C2,Arrester,2018-06-26,2470,5.0,HI5,202.6,2672.6,13.59,Central
SP-00831,LINE-N2,Insulator,2020-09-04,1669,5.0,HI5,203.6,1872.6,22.65,North
SP-00717,LINE-N2,Arrester,2019-01-21,2261,5.0,HI5,205.1,2466.1,18.45,North
SP-00061,LINE-NE1,Arrester,2019-04-07,1815,5.0,HI5,206.5,2021.5,26.26,Northeast
