span_id,event_id,component,region,event_type,forecast_date,age_at_forecast_days,forecast_wind_max,forecast_wind_avg,forecast_rain_total,forecast_pressure_min,forecast_humidity_max,forecast_temp_max,forecast_confidence_avg,RUL_days,failure_prob,risk_score,risk_level
SP-00080,FCAST-000320,Arrester,Northeast,tropical_cyclone,2024-09-03,1076,26.33,13.34125,316.166,987.3,100.0,30.7,75.19722222222222,1348.2,0.52,0.7027965471692317,Critical
SP-00196,FCAST-000783,Insulator,Northeast,tropical_cyclone,2024-11-17,2030,26.33,13.287638888888887,317.005,987.7,100.0,30.7,74.79027777777777,1386.1,0.52,0.7025378237882155,Critical
SP-00347,FCAST-001385,Insulator,Northeast,tropical_cyclone,2024-09-13,2121,26.33,13.264444444444443,312.27,987.4,100.0,30.7,74.88472222222222,2296.6,0.53,0.7023223188168355,Critical
SP-00150,FCAST-000597,Arrester,Northeast,tropical_cyclone,2024-10-01,1952,26.33,13.537916666666668,317.971,987.5,100.0,30.7,75.53611111111111,1694.5,0.515,0.697432539073033,High
SP-00513,FCAST-002052,Damper,North,tropical_cyclone,2024-09-30,1823,30.38,15.55375,253.602,984.1,100.0,28.6,75.14444444444445,3559.8,0.535,0.6966991163128846,High
SP-01481,FCAST-005923,Arrester,South,tropical_cyclone,2024-08-02,1258,37.12,19.152083333333337,383.958,988.4,100.0,29.5,74.92777777777778,2093.5,0.51,0.6917087757742075,High
SP-00044,FCAST-000176,Arrester,Northeast,tropical_cyclone,2024-11-02,1246,26.33,13.52527777777778,316.773,987.6,100.0,30.7,75.09861111111111,930.6,0.495,0.6906472828925138,High
SP-00323,FCAST-001292,Arrester,Northeast,tropical_cyclone,2024-09-05,1646,26.33,13.214027777777778,318.142,987.1,100.0,30.7,74.79305555555555,397.3,0.485,0.6882878417077108,High
SP-00441,FCAST-001762,Insulator,North,tropical_cyclone,2024-11-14,1320,30.38,15.351944444444444,256.356,984.4,100.0,28.6,75.19722222222222,1307.5,0.495,0.6880743846786608,High
SP-00097,FCAST-000388,Spacer,Northeast,tropical_cyclone,2024-10-02,1946,26.33,13.379166666666666,317.866,987.3,100.0,30.7,74.30416666666666,3513.0,0.52,0.688018595316356,High
SP-00348,FCAST-001391,Arrester,Northeast,tropical_cyclone,2024-09-14,1681,26.33,13.294305555555557,314.806,987.3,100.0,30.7,75.23194444444444,1079.7,0.49,0.6866294555545316,High
SP-00250,FCAST-000998,Arrester,Northeast,tropical_cyclone,2024-09-19,1076,26.33,13.53111111111111,321.463,987.1,100.0,30.7,74.98055555555555,715.7,0.485,0.6861142922481969,High
SP-00294,FCAST-001174,Arrester,Northeast,tropical_cyclone,2024-09-04,1143,26.33,13.645416666666668,315.353,987.4,100.0,30.7,75.08888888888889,1704.5,0.495,0.6853642743287016,High
SP-00407,FCAST-001625,Arrester,Northeast,tropical_cyclone,2024-08-21,1333,26.33,13.519027777777778,315.83299999999997,986.6,100.0,30.7,75.10833333333333,1402.6,0.49,0.6844251869600686,High
SP-00374,FCAST-001494,Conductor,Northeast,tropical_cyclone,2024-10-16,1725,26.33,13.579305555555557,317.724,987.2,100.0,30.7,74.85555555555555,5110.6,0.53,0.6831126197619608,High
SP-00679,FCAST-002715,Insulator,North,tropical_cyclone,2024-08-22,1903,30.38,15.6475,262.772,984.2,100.0,28.6,74.77916666666667,1522.6,0.485,0.6806060100280908,High
SP-00347,FCAST-001385,Arrester,Northeast,tropical_cyclone,2024-09-13,2121,26.33,13.264444444444443,312.27,987.4,100.0,30.7,74.88472222222222,688.5,0.475,0.6802999723527785,High
SP-00407,FCAST-001625,Insulator,Northeast,tropical_cyclone,2024-08-21,1333,26.33,13.519027777777778,315.83299999999997,986.6,100.0,30.7,75.10833333333333,1702.6,0.485,0.6793772446301245,High
SP-00265,FCAST-001057,Spacer,Northeast,tropical_cyclone,2024-10-26,1677,26.33,13.556944444444444,320.308,987.7,100.0,30.7,75.26805555555556,2167.4,0.49,0.679204299313598,High
SP-00707,FCAST-002825,Insulator,North,tropical_cyclone,2024-08-16,1277,30.38,15.506527777777778,251.491,983.5,100.0,28.6,74.77083333333333,1467.7,0.48,0.6779807834744707,High
SP-01194,FCAST-004776,Insulator,Central,tropical_cyclone,2024-09-21,1722,23.62,11.972916666666668,222.436,989.6,100.0,32.0,75.10416666666667,679.7,0.47,0.6773600453277903,High
SP-00188,FCAST-000750,Spacer,Northeast,tropical_cyclone,2024-09-30,1204,26.33,13.497083333333332,315.606,987.3,100.0,30.7,75.11666666666666,2522.3,0.49,0.6767815835372744,High
SP-00416,FCAST-001664,Damper,Northeast,tropical_cyclone,2024-11-04,1511,26.33,13.499305555555557,323.63,987.7,100.0,30.7,74.95555555555556,2203.7,0.485,0.6759564982916748,High
SP-00250,FCAST-000998,Spacer,Northeast,tropical_cyclone,2024-09-19,1076,26.33,13.53111111111111,321.463,987.1,100.0,30.7,74.98055555555555,2656.8,0.49,0.6758634227260161,High
SP-00098,FCAST-000391,Damper,Northeast,tropical_cyclone,2024-09-29,1995,26.33,13.43152777777778,315.025,987.2,100.0,30.7,75.29166666666667,2269.5,0.485,0.6755073162739738,High
SP-00374,FCAST-001494,Fittings,Northeast,tropical_cyclone,2024-10-16,1725,26.33,13.579305555555557,317.724,987.2,100.0,30.7,74.85555555555555,7248.8,0.54,0.6745162521290067,High
SP-00782,FCAST-003126,Arrester,North,tropical_cyclone,2024-08-21,2138,30.38,15.319722222222222,254.065,984.2,100.0,28.6,74.65555555555555,1755.5,0.475,0.6730161241326111,High
SP-00268,FCAST-001071,Spacer,Northeast,tropical_cyclone,2024-09-16,2383,26.33,13.397222222222222,315.559,987.4,100.0,30.7,75.0875,1356.6,0.47,0.6727392047839933,High
SP-01073,FCAST-004290,Insulator,Central,tropical_cyclone,2024-09-04,1640,23.62,11.99763888888889,219.885,988.9,100.0,32.0,75.09166666666667,1852.6,0.475,0.6723532734651525,High
SP-00101,FCAST-000401,Damper,Northeast,tropical_cyclone,2024-10-01,2261,26.33,13.41375,320.585,987.0,100.0,30.7,74.88472222222222,1471.3,0.47,0.6719562081665114,High
SP-00052,FCAST-000208,Insulator,Northeast,tropical_cyclone,2024-11-16,2174,26.33,13.610277777777778,316.303,987.4,100.0,30.7,75.03611111111111,648.0,0.46,0.671576444567321,High
SP-00216,FCAST-000864,Insulator,Northeast,tropical_cyclone,2024-10-29,1463,26.33,13.096805555555555,320.582,987.1,100.0,30.7,75.16527777777777,3037.4,0.485,0.6702652665567603,High
SP-00265,FCAST-001057,Damper,Northeast,tropical_cyclone,2024-10-26,1677,26.33,13.556944444444444,320.308,987.7,100.0,30.7,75.26805555555556,1810.6,0.47,0.6696399853913447,High
SP-00236,FCAST-000944,Arrester,Northeast,tropical_cyclone,2024-08-05,1692,26.33,13.453194444444444,324.543,987.3,100.0,30.7,74.85694444444444,330.1,0.45,0.6677465807896183,High
SP-00178,FCAST-000711,Arrester,Northeast,tropical_cyclone,2024-08-05,2273,26.33,13.412777777777778,309.457,986.7,100.0,30.7,74.86805555555556,403.1,0.45,0.6672482481559987,High
SP-01180,FCAST-004717,Spacer,Central,tropical_cyclone,2024-09-03,2275,23.62,12.147083333333336,228.377,989.2,100.0,32.0,75.3125,3169.8,0.48,0.6663614413418117,High
SP-00956,FCAST-003824,Insulator,Central,tropical_cyclone,2024-08-07,2113,23.62,12.041944444444445,221.274,989.3,100.0,32.0,74.96388888888889,800.2,0.45,0.6645374551585961,High
SP-00374,FCAST-001494,Spacer,Northeast,tropical_cyclone,2024-10-16,1725,26.33,13.579305555555557,317.724,987.2,100.0,30.7,74.85555555555555,3601.4,0.48,0.6634151349764658,High
SP-00005,FCAST-000017,Arrester,Northeast,tropical_cyclone,2024-11-14,1616,26.33,13.545694444444443,314.894,986.5,100.0,30.7,75.16527777777777,545.7,0.445,0.6632747929018319,High
SP-00404,FCAST-001616,Arrester,Northeast,tropical_cyclone,2024-11-02,1076,26.33,13.320833333333333,313.258,987.0,100.0,30.7,74.85833333333333,678.9,0.445,0.6623655065073368,High
SP-00268,FCAST-001071,Insulator,Northeast,tropical_cyclone,2024-09-16,2383,26.33,13.397222222222222,315.559,987.4,100.0,30.7,75.0875,1671.4,0.455,0.6615902306324388,High
SP-00319,FCAST-001276,Damper,Northeast,tropical_cyclone,2024-11-15,1864,26.33,13.35736111111111,313.641,987.3,100.0,30.7,75.14305555555556,1681.0,0.455,0.6615246964778806,High
SP-00178,FCAST-000711,Insulator,Northeast,tropical_cyclone,2024-08-05,2273,26.33,13.412777777777778,309.457,986.7,100.0,30.7,74.86805555555556,1458.7,0.45,0.6600422217443691,High
SP-00374,FCAST-001494,Damper,Northeast,tropical_cyclone,2024-10-16,1725,26.33,13.579305555555557,317.724,987.2,100.0,30.7,74.85555555555555,3778.6,0.475,0.6592054837069121,High
SP-00070,FCAST-000278,Spacer,Northeast,tropical_cyclone,2024-10-09,2176,26.33,13.275694444444444,317.284,987.4,100.0,30.7,75.25833333333334,2048.8,0.455,0.6590139191813692,High
SP-01180,FCAST-004717,Arrester,Central,tropical_cyclone,2024-09-03,2275,23.62,12.147083333333336,228.377,989.2,100.0,32.0,75.3125,1665.4,0.45,0.6586311894790376,High
SP-00381,FCAST-001522,Insulator,Northeast,tropical_cyclone,2024-10-23,1293,26.33,13.369305555555556,319.754,987.7,100.0,30.7,74.98333333333333,1283.9,0.445,0.6582354894752831,High
SP-00166,FCAST-000661,Arrester,Northeast,tropical_cyclone,2024-09-19,1676,26.33,13.518194444444443,318.419,987.7,100.0,30.7,74.83333333333333,36.9,0.43,0.6577481030934169,High
SP-00250,FCAST-000998,Insulator,Northeast,tropical_cyclone,2024-09-19,1076,26.33,13.53111111111111,321.463,987.1,100.0,30.7,74.98055555555555,2683.3,0.46,0.6576825211535378,High
SP-00416,FCAST-001664,Spacer,Northeast,tropical_cyclone,2024-11-04,1511,26.33,13.499305555555557,323.63,987.7,100.0,30.7,74.95555555555556,2303.8,0.455,0.6572731682009169,High
SP-00265,FCAST-001057,Insulator,Northeast,tropical_cyclone,2024-10-26,1677,26.33,13.556944444444444,320.308,987.7,100.0,30.7,75.26805555555556,1026.2,0.44,0.656994671936705,High
SP-01549,FCAST-006194,Damper,South,tropical_cyclone,2024-08-05,1178,37.12,19.025,382.841,988.4,100.0,29.5,75.38749999999999,3704.1,0.47,0.6567140560521816,High
SP-00416,FCAST-001664,Insulator,Northeast,tropical_cyclone,2024-11-04,1511,26.33,13.499305555555557,323.63,987.7,100.0,30.7,74.95555555555556,1523.2,0.445,0.656601914143431,High
SP-00348,FCAST-001391,Insulator,Northeast,tropical_cyclone,2024-09-14,1681,26.33,13.294305555555557,314.806,987.3,100.0,30.7,75.23194444444444,1550.5,0.445,0.6564155513914062,High
SP-00140,FCAST-000559,Arrester,Northeast,tropical_cyclone,2024-08-10,1435,26.33,13.24763888888889,314.712,987.5,100.0,30.7,74.85416666666667,369.9,0.43,0.6554748871071792,High
SP-00968,FCAST-003871,Arrester,Central,tropical_cyclone,2024-08-05,2069,23.62,11.86486111111111,219.66,989.4,100.0,32.0,74.875,1341.1,0.44,0.6548450151377071,High
SP-01530,FCAST-006118,Insulator,South,tropical_cyclone,2024-09-21,1503,37.12,18.82986111111111,391.085,988.3,100.0,29.5,75.15694444444445,936.6,0.435,0.6546063240459149,High
SP-00333,FCAST-001332,Insulator,Northeast,tropical_cyclone,2024-10-18,1677,26.33,13.280277777777776,316.116,986.9,100.0,30.7,75.17916666666666,962.9,0.435,0.6544267877683232,High
SP-00176,FCAST-000703,Insulator,Northeast,tropical_cyclone,2024-09-08,2031,26.33,13.408472222222224,315.867,987.5,99.5,30.7,74.84722222222223,568.5,0.43,0.6541191492847562,High
SP-00390,FCAST-001557,Spacer,Northeast,tropical_cyclone,2024-08-28,2317,26.33,13.560555555555556,315.289,986.6,100.0,30.7,75.02361111111111,1455.9,0.44,0.6540613358727818,High
SP-00116,FCAST-000461,Insulator,Northeast,tropical_cyclone,2024-09-17,2022,26.33,13.474861111111112,327.447,987.3,100.0,30.7,75.07222222222222,1090.1,0.435,0.6535584602204269,High
SP-00390,FCAST-001557,Damper,Northeast,tropical_cyclone,2024-08-28,2317,26.33,13.560555555555556,315.289,986.6,100.0,30.7,75.02361111111111,1998.4,0.445,0.6533579734927998,High
SP-00441,FCAST-001762,Damper,North,tropical_cyclone,2024-11-14,1320,30.38,15.351944444444444,256.356,984.4,100.0,28.6,75.19722222222222,2494.7,0.45,0.6529699942316292,High
SP-00117,FCAST-000467,Spacer,Northeast,tropical_cyclone,2024-08-21,1823,26.33,13.415416666666664,320.293,987.1,99.6,30.7,75.27638888888889,2953.2,0.455,0.6528400557040315,High
SP-01439,FCAST-005756,Insulator,South,tropical_cyclone,2024-09-23,1171,37.12,19.060277777777777,388.953,988.1,100.0,29.5,74.71111111111111,2553.1,0.45,0.6525713281247334,High
SP-00123,FCAST-000489,Arrester,Northeast,tropical_cyclone,2024-10-27,1324,26.33,13.518888888888888,315.135,986.8,100.0,30.7,74.69583333333334,380.1,0.425,0.652405257067961,High
SP-00887,FCAST-003545,Fittings,Central,tropical_cyclone,2024-08-02,979,23.62,12.01375,226.295,988.2,100.0,32.0,75.04722222222222,5705.8,0.485,0.652049502179352,High
SP-01566,FCAST-006263,Arrester,South,tropical_cyclone,2024-10-18,1327,37.12,18.97791666666667,390.971,989.0,100.0,29.5,74.975,1332.9,0.435,0.6519009922280589,High
SP-00366,FCAST-001463,Arrester,Northeast,tropical_cyclone,2024-11-07,1551,26.33,13.51736111111111,312.438,987.3,100.0,30.7,75.34166666666667,460.2,0.425,0.6518584564658659,High
SP-00366,FCAST-001463,Spacer,Northeast,tropical_cyclone,2024-11-07,1551,26.33,13.51736111111111,312.438,987.3,100.0,30.7,75.34166666666667,2272.7,0.445,0.6514854715557877,High
SP-00173,FCAST-000691,Arrester,Northeast,tropical_cyclone,2024-09-26,1199,26.33,13.399861111111113,320.189,985.8,100.0,30.7,75.0013888888889,527.9,0.425,0.6513963041467419,High
SP-00294,FCAST-001174,Spacer,Northeast,tropical_cyclone,2024-09-04,1143,26.33,13.645416666666668,315.353,987.4,100.0,30.7,75.08888888888889,2743.1,0.45,0.6512742979824355,High
SP-00222,FCAST-000887,Arrester,Northeast,tropical_cyclone,2024-09-04,1308,26.33,13.532083333333333,326.385,987.4,100.0,30.7,74.89305555555556,1478.7,0.435,0.6509056922557062,High
SP-00265,FCAST-001057,Arrester,Northeast,tropical_cyclone,2024-10-26,1677,26.33,13.556944444444444,320.308,987.7,100.0,30.7,75.26805555555556,176.8,0.42,0.6507930793202197,High
SP-00842,FCAST-003368,Insulator,Central,tropical_cyclone,2024-10-29,1689,23.62,12.111527777777775,219.737,989.1,100.0,32.0,75.38888888888889,2816.7,0.45,0.650771869464156,High
SP-00271,FCAST-001083,Spacer,Northeast,tropical_cyclone,2024-08-20,1069,26.33,13.271527777777775,318.737,987.4,100.0,30.7,75.05138888888888,3389.4,0.455,0.6498623475562928,High
SP-00106,FCAST-000422,Arrester,Northeast,tropical_cyclone,2024-11-23,1840,26.33,13.399722222222222,317.138,987.2,100.0,30.7,75.00833333333334,1651.3,0.435,0.649727442768545,High
SP-01357,FCAST-005428,Conductor,South,tropical_cyclone,2024-11-13,1783,37.12,18.709444444444443,386.63,988.6,100.0,29.5,75.09027777777777,4319.6,0.465,0.6495123610385799,High
SP-00381,FCAST-001522,Arrester,Northeast,tropical_cyclone,2024-10-23,1293,26.33,13.369305555555556,319.754,987.7,100.0,30.7,74.98333333333333,852.6,0.425,0.6491797478982992,High
SP-00044,FCAST-000176,Damper,Northeast,tropical_cyclone,2024-11-02,1246,26.33,13.52527777777778,316.773,987.6,100.0,30.7,75.09861111111111,3097.1,0.45,0.6488577260331017,High
SP-00319,FCAST-001276,Arrester,Northeast,tropical_cyclone,2024-11-15,1864,26.33,13.35736111111111,313.641,987.3,100.0,30.7,75.14305555555556,44.0,0.415,0.6486996351249416,High
SP-01030,FCAST-004120,Arrester,Central,tropical_cyclone,2024-11-08,2201,23.62,11.960555555555556,221.733,989.3,100.0,32.0,75.03055555555555,939.3,0.425,0.6485878925649454,High
SP-00041,FCAST-000161,Insulator,Northeast,tropical_cyclone,2024-09-05,1293,26.33,13.543611111111112,316.88,987.5,100.0,30.7,75.19027777777778,1430.9,0.43,0.6482319977336105,High
SP-00513,FCAST-002052,Insulator,North,tropical_cyclone,2024-09-30,1823,30.38,15.55375,253.602,984.1,100.0,28.6,75.14444444444445,1441.7,0.43,0.6481582718097325,High
SP-00176,FCAST-000703,Arrester,Northeast,tropical_cyclone,2024-09-08,2031,26.33,13.408472222222224,315.867,987.5,99.5,30.7,74.84722222222223,157.7,0.415,0.6479234649818928,High
SP-00098,FCAST-000391,Arrester,Northeast,tropical_cyclone,2024-09-29,1995,26.33,13.43152777777778,315.025,987.2,100.0,30.7,75.29166666666667,1050.7,0.425,0.6478274233130928,High
SP-00831,FCAST-003322,Damper,North,tropical_cyclone,2024-08-11,1437,30.38,15.19375,255.685,983.7,100.0,28.6,74.9361111111111,2009.7,0.435,0.6472808343317052,High
SP-00270,FCAST-001077,Arrester,Northeast,tropical_cyclone,2024-09-13,1638,26.33,13.305416666666666,322.482,986.8,99.1,30.7,74.75416666666666,268.3,0.415,0.6471684569095868,High
SP-01251,FCAST-005001,Spacer,Central,tropical_cyclone,2024-09-04,1648,23.62,11.87638888888889,219.306,988.9,100.0,32.0,74.5375,2478.6,0.44,0.6470799004700027,High
SP-00366,FCAST-001463,Damper,Northeast,tropical_cyclone,2024-11-07,1551,26.33,13.51736111111111,312.438,987.3,100.0,30.7,75.34166666666667,2138.9,0.435,0.6463988538349427,High
SP-00656,FCAST-002623,Damper,North,tropical_cyclone,2024-11-15,1762,30.38,15.411388888888888,263.85,984.1,100.0,28.6,74.70833333333333,2181.8,0.435,0.6461059980817607,High
SP-01295,FCAST-005178,Insulator,South,tropical_cyclone,2024-09-05,2296,37.12,18.984722222222224,387.51,988.6,100.0,29.5,74.84444444444445,2275.7,0.435,0.6454649921324882,High
SP-00577,FCAST-002306,Insulator,North,tropical_cyclone,2024-11-07,1911,30.38,15.075555555555557,261.591,984.4,100.0,28.6,74.90972222222223,559.3,0.415,0.645181952849541,High
SP-00656,FCAST-002623,Arrester,North,tropical_cyclone,2024-11-15,1762,30.38,15.411388888888888,263.85,984.1,100.0,28.6,74.70833333333333,1892.0,0.43,0.6450843103724866,High
SP-00390,FCAST-001557,Insulator,Northeast,tropical_cyclone,2024-08-28,2317,26.33,13.560555555555556,315.289,986.6,100.0,30.7,75.02361111111111,1937.5,0.43,0.6447737057857784,High
SP-00404,FCAST-001616,Insulator,Northeast,tropical_cyclone,2024-11-02,1076,26.33,13.320833333333333,313.258,987.0,100.0,30.7,74.85833333333333,1994.1,0.43,0.6443873273328624,High
SP-00234,FCAST-000935,Damper,Northeast,tropical_cyclone,2024-09-17,2302,26.33,13.398472222222225,323.858,987.4,100.0,30.7,75.04722222222222,1076.1,0.415,0.641654030862491,High
SP-00534,FCAST-002135,Arrester,North,tropical_cyclone,2024-10-15,1857,30.38,15.488333333333337,260.311,984.4,100.0,28.6,74.88611111111112,649.6,0.41,0.6415655222082279,High
SP-01566,FCAST-006263,Insulator,South,tropical_cyclone,2024-10-18,1327,37.12,18.97791666666667,390.971,989.0,100.0,29.5,74.975,2121.9,0.425,0.6405149039003062,High
SP-00191,FCAST-000764,Arrester,Northeast,tropical_cyclone,2024-10-28,1969,26.33,13.098194444444443,315.057,987.6,100.0,30.7,75.44861111111112,453.4,0.405,0.6399048764920113,High
SP-00150,FCAST-000597,Damper,Northeast,tropical_cyclone,2024-10-01,1952,26.33,13.537916666666668,317.971,987.5,100.0,30.7,75.53611111111111,1808.0,0.42,0.6396577342248709,High
SP-01639,FCAST-006554,Insulator,South,tropical_cyclone,2024-09-12,1760,37.12,18.75402777777778,390.866,987.9,100.0,29.5,74.7513888888889,2699.4,0.43,0.639572614915164,High
SP-00072,FCAST-000287,Damper,Northeast,tropical_cyclone,2024-09-17,1098,26.33,13.485,314.716,987.5,100.0,30.7,75.25277777777778,2737.5,0.43,0.6393125262392612,High
SP-01073,FCAST-004290,Spacer,Central,tropical_cyclone,2024-09-04,1640,23.62,11.99763888888889,219.885,988.9,100.0,32.0,75.09166666666667,2749.1,0.43,0.6392333391358367,High
SP-00534,FCAST-002135,Insulator,North,tropical_cyclone,2024-10-15,1857,30.38,15.488333333333337,260.311,984.4,100.0,28.6,74.88611111111112,140.2,0.4,0.6390429282844728,High
SP-00041,FCAST-000161,Arrester,Northeast,tropical_cyclone,2024-09-05,1293,26.33,13.543611111111112,316.88,987.5,100.0,30.7,75.19027777777778,1073.0,0.41,0.6386751929332337,High
SP-01079,FCAST-004314,Spacer,Central,summer_storm,2024-05-21,1450,14.7,5.966527777777778,109.585,1001.6,96.8,34.22,74.92638888888888,3716.3,0.44,0.6386307730640972,High
SP-00325,FCAST-001300,Arrester,Northeast,tropical_cyclone,2024-08-03,1143,26.33,13.2975,319.216,987.1,100.0,30.7,74.98472222222222,670.5,0.405,0.6384228488925752,High
SP-01095,FCAST-004378,Insulator,Central,tropical_cyclone,2024-08-01,1157,23.62,11.97222222222222,217.85,989.3,100.0,32.0,75.11388888888888,4228.3,0.445,0.6381356181543262,High
SP-01627,FCAST-006508,Damper,South,tropical_cyclone,2024-10-10,1820,37.12,18.91027777777778,389.641,987.7,100.0,29.5,75.24027777777778,3949.3,0.44,0.637040204521174,High
SP-00101,FCAST-000401,Arrester,Northeast,tropical_cyclone,2024-10-01,2261,26.33,13.41375,320.585,987.0,100.0,30.7,74.88472222222222,0.0,0.395,0.637,High
SP-00036,FCAST-000143,Arrester,Northeast,tropical_cyclone,2024-11-08,1437,26.33,13.404166666666669,324.62,987.5,100.0,30.7,75.08611111111111,505.6,0.4,0.6365485345266011,High
SP-00221,FCAST-000882,Arrester,Northeast,tropical_cyclone,2024-08-09,1068,26.33,13.379166666666666,315.03,987.5,100.0,30.7,75.13611111111112,984.1,0.405,0.6362820665103404,High
SP-01180,FCAST-004717,Damper,Central,tropical_cyclone,2024-09-03,2275,23.62,12.147083333333336,228.377,989.2,100.0,32.0,75.3125,1439.0,0.41,0.636176703290702,High
SP-01258,FCAST-005032,Arrester,Central,tropical_cyclone,2024-08-07,972,23.62,11.522083333333336,221.66,989.4,100.0,32.0,74.77916666666667,1940.7,0.415,0.6357518610675923,High
SP-00268,FCAST-001071,Damper,Northeast,tropical_cyclone,2024-09-16,2383,26.33,13.397222222222222,315.559,987.4,100.0,30.7,75.0875,2404.5,0.42,0.6355857422254989,High
SP-00236,FCAST-000944,Insulator,Northeast,tropical_cyclone,2024-08-05,1692,26.33,13.453194444444444,324.543,987.3,100.0,30.7,74.85694444444444,1112.8,0.405,0.6354034992507944,High
SP-00053,FCAST-000209,Arrester,Northeast,tropical_cyclone,2024-09-11,2120,26.33,13.339166666666666,321.7,987.3,100.0,30.7,74.78888888888889,236.3,0.395,0.6353869040914475,High
SP-00052,FCAST-000208,Arrester,Northeast,tropical_cyclone,2024-11-16,2174,26.33,13.610277777777778,316.303,987.4,100.0,30.7,75.03611111111111,254.9,0.395,0.6352599316669909,High
SP-00185,FCAST-000739,Spacer,Northeast,tropical_cyclone,2024-11-11,1330,26.33,13.342638888888889,323.516,986.9,100.0,30.7,74.85972222222222,3342.3,0.43,0.6351838745020941,High
SP-00488,FCAST-001950,Arrester,North,tropical_cyclone,2024-11-26,1680,30.38,15.366388888888888,258.778,983.7,99.6,28.6,74.76527777777778,2043.3,0.415,0.6350514647907515,High
SP-00404,FCAST-001616,Spacer,Northeast,tropical_cyclone,2024-11-02,1076,26.33,13.320833333333333,313.258,987.0,100.0,30.7,74.85833333333333,2946.5,0.425,0.6348857930827335,High
SP-01073,FCAST-004290,Arrester,Central,tropical_cyclone,2024-09-04,1640,23.62,11.99763888888889,219.885,988.9,100.0,32.0,75.09166666666667,1192.4,0.405,0.634860111885916,High
SP-00752,FCAST-003005,Spacer,North,tropical_cyclone,2024-11-02,2203,30.38,15.461527777777778,255.927,984.4,99.6,28.6,74.93333333333334,2969.3,0.425,0.6347301494656578,High
SP-00101,FCAST-000401,Insulator,Northeast,tropical_cyclone,2024-10-01,2261,26.33,13.41375,320.585,987.0,100.0,30.7,74.88472222222222,1281.8,0.405,0.6342498250715927,High
SP-01137,FCAST-004545,Spacer,Central,tropical_cyclone,2024-09-08,1645,23.62,11.907361111111111,212.202,989.3,100.0,32.0,74.99027777777778,2183.9,0.415,0.634091662485451,High
SP-00053,FCAST-000209,Fittings,Northeast,tropical_cyclone,2024-09-11,2120,26.33,13.339166666666666,321.7,987.3,100.0,30.7,74.78888888888889,3953.9,0.435,0.6340088027387816,High
SP-00016,FCAST-000064,Arrester,Northeast,tropical_cyclone,2024-08-24,2050,26.33,13.2125,320.272,987.0,100.0,30.7,74.70277777777778,0.0,0.39,0.634,High
SP-00374,FCAST-001494,Insulator,Northeast,tropical_cyclone,2024-10-16,1725,26.33,13.579305555555557,317.724,987.2,100.0,30.7,74.85555555555555,3518.4,0.43,0.633981732354417,High
SP-00692,FCAST-002768,Damper,North,tropical_cyclone,2024-11-26,1346,30.38,15.492777777777778,256.843,984.1,99.7,28.6,75.10833333333333,2201.9,0.415,0.6339687859456544,High
